Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-270_5735.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-271_5736.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-272_5737.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-235_5745.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-236_5746.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-237_5747.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-238_5748.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-239_5749.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-273_5738.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-274_5739.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-275_5740.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-276_5741.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-277_5742.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-278_5743.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-279_5744.d
Q9BUT1	Q9BUT1	BDH2_HUMAN	BDH2	3-hydroxybutyrate dehydrogenase type 2		936.683			274.616	484.69			781.428				318.298		
Q9BV38	Q9BV38	WDR18_HUMAN	WDR18	WD repeat-containing protein 18	990.964	866.447	1278.14		1785.93	1588.24			1883.19		1135	1324.69	1314.97		
Q9BV40	Q9BV40	VAMP8_HUMAN	VAMP8	Vesicle-associated membrane protein 8			1871.5	1592.13	1424.39	919.707			1544.71			1536.61	1079.33		
Q9BV44	Q9BV44	THUM3_HUMAN	THUMPD3	THUMP domain-containing protein 3			812.296			1242.06						1634.36	1312		
Q9BV57	Q9BV57	MTND_HUMAN	ADI1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	1236.54	833.65	1264.08						851.725			657.809	1231.52		
Q9BVA1	Q9BVA1	TBB2B_HUMAN	TUBB2B	Tubulin beta-2B chain	632.582	496.111				1337.85			682.854			784.672	2501.34		
Q9BVC6	Q9BVC6	TM109_HUMAN	TMEM109	Transmembrane protein 109	3489.78	4475.65	2547.85	4809	3941.14	5166.54			3122.89		5062.35	4091.84	3189.92	3142.27	
Q9BVJ6	Q9BVJ6	UT14A_HUMAN	UTP14A	U3 small nucleolar RNA-associated protein 14 homolog A	663.739	495.302			635.667				1364.43			774.692	866.291		
Q9BVK6	Q9BVK6	TMED9_HUMAN	TMED9	Transmembrane emp24 domain-containing protein 9	6653.24	4952.87	7431.9	9615.49	7589.6	7671.06			5532.36		5981.01	8866.38	6143.9	3132.65	
Q9BW27	Q9BW27	NUP85_HUMAN	NUP85	Nuclear pore complex protein Nup85	906.34	887.075	626.843	1480.13	733.635	596.765			601.503		969.199	539.638	926.51		
Q9BWD1	Q9BWD1	THIC_HUMAN	ACAT2	Acetyl-CoA acetyltransferase, cytosolic	3323.22	4526.18	4089.43	1039.31	10692	4764.49			3122.12			5338.97	3751.77		
Q9BWF3	Q9BWF3	RBM4_HUMAN	RBM4	RNA-binding protein 4	942.87	1614.66	1866.05		922.176	2069.84			1741.38			1860.31	2128.83		
Q9BWH2	Q9BWH2	FUND2_HUMAN	FUNDC2	FUN14 domain-containing protein 2	803.012		876.649	968.244		606.968						784.553			
Q9BWM7	Q9BWM7	SFXN3_HUMAN	SFXN3	Sideroflexin-3			1676.74	346.794	406.768	1194.8									
Q9BX67	Q9BX67	JAM3_HUMAN	JAM3	Junctional adhesion molecule C	3232.31		2304.88	4737.2	3389.42		8625.83		3320.42	6353.88	3903.18	2416.48		7420.42	
Q9BX68	Q9BX68	HINT2_HUMAN	HINT2	Adenosine 5'-monophosphoramidase HINT2	3698.11	3742.61	4454.09	4005.41	3945.1	2661.91			1685.55		5136.61	3393.04	1292.58		
Q9BXB5	Q9BXB5	OSB10_HUMAN	OSBPL10	Oxysterol-binding protein-related protein 10	199.262					708.219					251.523	278.801			
Q9BXJ9	Q9BXJ9	NAA15_HUMAN	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	2311.82	2687.76	1915.78			3748.92			2433.07			2139.35	2219.43		
Q9BXP5	Q9BXP5	SRRT_HUMAN	SRRT	Serrate RNA effector molecule homolog	1191.97	3354.04	2290.19	579.019	1309.89	2797.41			1765.55			2449.48	2044.93		
Q9BXS5	Q9BXS5	AP1M1_HUMAN	AP1M1	AP-1 complex subunit mu-1	1755.59	1764.22	1758.12	1094.48	442.99	1068.54			1784.79			2266.13	2119.05		
Q9BXW7	Q9BXW7	HDHD5_HUMAN	HDHD5	Haloacid dehalogenase-like hydrolase domain-containing 5	427.256	1415.96	1321.65	2111.77	1467.31	1405.32			2104.39		2258.59	1997.71	1094.99	1309.1	
Q9BY32	Q9BY32	ITPA_HUMAN	ITPA	Inosine triphosphate pyrophosphatase	1387.34	1751.7	2003.8			2053.02			3009.04			1615.12	2045.25		
Q9BY43	Q9BY43	CHM4A_HUMAN	CHMP4A	Charged multivesicular body protein 4a	300.026	1043.62	664.294	1077.38		284.803			1255.14			530.758	740.74		
Q9BY44	Q9BY44	EIF2A_HUMAN	EIF2A	Eukaryotic translation initiation factor 2A	962.173	722.825	690.999	289.332		966.249			649.362			1225	719.58		
Q9BY49	Q9BY49	PECR_HUMAN	PECR	Peroxisomal trans-2-enoyl-CoA reductase	923.352			1825.14								369.413	1260.92		
Q9BY77	Q9BY77	PDIP3_HUMAN	POLDIP3	Polymerase delta-interacting protein 3	829.125	1138.3	991.677		424.378	1075.79			1182.37			674.12	707.894		
Q9BYD1	Q9BYD1	RM13_HUMAN	MRPL13	39S ribosomal protein L13, mitochondrial	459.586	1951.97		666.163	931.865				740.243			380.552	524.022		
Q9BYD2	Q9BYD2	RM09_HUMAN	MRPL9	39S ribosomal protein L9, mitochondrial		493.37	1228.25	930.178	1131.52				673.146			772.892			
Q9BYD6	Q9BYD6	RM01_HUMAN	MRPL1	39S ribosomal protein L1, mitochondrial	710.085	470.896	1032.69	1222.68	1060	795.702			1350.07		1499.72				
Q9BYG3	Q9BYG3	MK67I_HUMAN	NIFK	MKI67 FHA domain-interacting nucleolar phosphoprotein	2348.82	2614.77	949.677	3756.44	1354.05	1694.67			2246.64		2588.16	1265.96	1555.82	5274.05	
Q9BYG5	Q9BYG4;Q9NPB6;Q9BYG5	PAR6B_HUMAN	PARD6B	Partitioning defective 6 homolog beta	976.096		1841.48			1482.43			834.586			1577.48	832.612		
Q9BYJ9	Q9BYJ9	YTHD1_HUMAN	YTHDF1	YTH domain-containing family protein 1		1477.12	1117.21			612.43			1387.74			1732.33	713.463		
Q9BYN8	Q9BYN8	RT26_HUMAN	MRPS26	28S ribosomal protein S26, mitochondrial		642.846	1268.17		1042.9				917.809			968.684			
Q9BZE1	Q9BZE1	RM37_HUMAN	MRPL37	39S ribosomal protein L37, mitochondrial	320.941	119.256	596.239	573.331	745.245				575.46			490.549			
Q9BZE4	Q9BZE4	GTPB4_HUMAN	GTPBP4	GTP-binding protein 4	1304.35	1729.49	1166.66	440.818	1060.08	1598.55			2279.96		1670.38	1661.55	1067.7		
Q9BZI7	Q9BZI7	REN3B_HUMAN	UPF3B	Regulator of nonsense transcripts 3B			825.686		733.295	1486.12			2004.16				706.754		
Q9BZX2	Q9HA47;Q9BZX2	UCK2_HUMAN	UCK2	Uridine-cytidine kinase 2	933.064	1829.97	606.661			1510.43			1219.39			545.1			
Q9BZZ5	Q9BZZ5	API5_HUMAN	API5	Apoptosis inhibitor 5	2654.08	4149.57	3216.89	1147.47		4494.42			3452.62			2811.39	3798.07		
Q9C005	Q9C005	DPY30_HUMAN	DPY30	Protein dpy-30 homolog	1513.72	2409.43	3434.1		1623.25	2207.93			4827.14			2429.56	2644.07		
Q9C075	Q9C075;CONT|Q9C075|K1C23_HUMAN	K1C23_HUMAN	KRT23	Keratin, type I cytoskeletal 23	752.705	1029.32	497.029	973.744	1081.48	910.664	1698.61		1011.62		998.595	796.877			
Q9C0C2	Q9C0C2	TB182_HUMAN	TNKS1BP1	182 kDa tankyrase-1-binding protein			410.151			1066.97						1010.6	374.346		
Q9C0C9	Q9C0C9	UBE2O_HUMAN	UBE2O	(E3-independent) E2 ubiquitin-conjugating enzyme	991.307	997.502				1202.77						977.557	1086.29		
Q9C0E8	Q9C0E8	LNP_HUMAN	LNPK	Endoplasmic reticulum junction formation protein lunapark	779.586	739.156			530.4	659.431					570.77	826.615	603.604		
Q9GZL7	Q9GZL7	WDR12_HUMAN	WDR12	Ribosome biogenesis protein WDR12	472.928	512.913				1226.47			892.539		750.614	490.009	942.807		
Q9GZP8	Q9GZP8	IMUP_HUMAN	IMUP	Immortalization up-regulated protein		1931.6	5793.37			3085.54			4179.99	953.691		2934.16	1027.18	1129.15	
Q9GZR2	Q9GZR2	REXO4_HUMAN	REXO4	RNA exonuclease 4	1585.65	1851.48				1127.71			1571.53			1152.13			
Q9GZS1	Q9GZS1	RPA49_HUMAN	POLR1E	DNA-directed RNA polymerase I subunit RPA49	981.615	625.029			843.388				975.563		777.137				
Q9GZS3	Q9GZS3	WDR61_HUMAN	WDR61	WD repeat-containing protein 61	1054.23	981.042			575.036	1280.37						668.039	638.728		
Q9GZT3	Q9GZT3	SLIRP_HUMAN	SLIRP	SRA stem-loop-interacting RNA-binding protein, mitochondrial	2563.78	2507.85	3686.27	3688.02	4303.14	2092.23			3494.84		4913.29	2492.58	1738.34		
Q9GZT8	Q9GZT8	NIF3L_HUMAN	NIF3L1	NIF3-like protein 1	910.54	983.072	790.293		567.929	1181.75			652.004			707.301	1205.15		
Q9GZZ1	Q9GZZ1	NAA50_HUMAN	NAA50	N-alpha-acetyltransferase 50	2120.84	1957.47	1233.73			1493.87			1650.46			1644.31	1543.09		
Q9GZZ8	Q9GZZ8	LACRT_HUMAN	LACRT	Extracellular glycoprotein lacritin	1246.51		877.405	954.223		1187.91	2669.54		1338.6	5298.97	1076.75	448.06	517.575	3248.79	2758.4
Q9GZZ9	Q9GZZ9	UBA5_HUMAN	UBA5	Ubiquitin-like modifier-activating enzyme 5	409.973	572.407	897.664			658.532						890.838	992.077		
Q9H078	Q9H078	CLPB_HUMAN	CLPB	Caseinolytic peptidase B protein homolog	419.534	489.152	990.356	1121.47	1364.7	584.995			1011.83		1538.32	519.269	585.151		
Q9H082	Q9H082	RB33B_HUMAN	RAB33B	Ras-related protein Rab-33B		456.601			540.306	1085.9							655.977		
Q9H0A0	Q9H0A0	NAT10_HUMAN	NAT10	RNA cytidine acetyltransferase	1466.88	2525.42	1713.78		2588.1	2360.82			3236.3		3111.51	2186.04	2225.39		
Q9H0B6	Q07866;Q9H0B6	KLC2_HUMAN	KLC2	Kinesin light chain 2	1458.01	1109.76	1447.86			1139.41			722.796			1004.51	1183.63		
Q9H0C8	Q9H0C8	ILKAP_HUMAN	ILKAP	Integrin-linked kinase-associated serine/threonine phosphatase 2C						1745.24			992.467			862.868	947.304		
Q9H0D6	Q9H0D6	XRN2_HUMAN	XRN2	5'-3' exoribonuclease 2	3357.25	4534.6	3838.34	1446.03	2466.57	4689.44			2971.87		2104.66	3326.48	4194.85		
Q9H0E2	Q9H0E2	TOLIP_HUMAN	TOLLIP	Toll-interacting protein	2861.41		943.358			1136.36			747.202			1149.28	1293.4		
Q9H0H5	Q9H0H5	RGAP1_HUMAN	RACGAP1	Rac GTPase-activating protein 1			1115.89	1077.91	684.347	1326.31					855.258				
Q9H0P0	Q9H0P0	5NT3A_HUMAN	NT5C3A	Cytosolic 5'-nucleotidase 3A	170.118	651.807	969.368			1038.68			411.472			945.832			
Q9H0S4	Q9H0S4	DDX47_HUMAN	DDX47	Probable ATP-dependent RNA helicase DDX47	1288.13	2313.39	1537.01	1035.54	1826.33	1482.05			3113.71		1669.79	2135.42	929.242	1149.91	
Q9H0U3	Q9H0U3	MAGT1_HUMAN	MAGT1	Magnesium transporter protein 1			1141.82	2304.37											
Q9H0U4	Q9H0U4	RAB1B_HUMAN	RAB1B	Ras-related protein Rab-1B	1596.77	1927.84	2414.98	1046.76	1189.86	2692.43			1579.01		1170.62	2430.88	1016.56		
Q9H1E3	Q9H1E3	NUCKS_HUMAN	NUCKS1	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	5217.56	8625.33	5508.47			7681.68			5550.4			6696.41	1894.27		
Q9H223	Q9H223	EHD4_HUMAN	EHD4	EH domain-containing protein 4	1253.13	2039.53	2552.75	1744.54		2384.3			1325.65			1852.62	1305.04		
Q9H299	Q9H299	SH3L3_HUMAN	SH3BGRL3	SH3 domain-binding glutamic acid-rich-like protein 3	2173.92	2087.71	3077.07	975.149	421.79	3198.7	1199.4		1780.76		1101.49	2805.27	2548.2	997.574	1306.2
Q9H2G2	Q9H2G2	SLK_HUMAN	SLK	STE20-like serine/threonine-protein kinase		1130.67							1690.67			1505.26	1089.58		
Q9H2M9	Q9H2M9	RBGPR_HUMAN	RAB3GAP2	Rab3 GTPase-activating protein non-catalytic subunit	494.019	565.622	1101.47			915.873			823.422			920.642	636.407		
Q9H2U2	Q9H2U2	IPYR2_HUMAN	PPA2	Inorganic pyrophosphatase 2, mitochondrial	2173.36	3512	3017.58	2801.36	4459.99	3568.28			3390.07		1625.85	2005.07	3087.33	2276.19	
Q9H2W6	Q9H2W6	RM46_HUMAN	MRPL46	39S ribosomal protein L46, mitochondrial	594.319	955.092	839.23	714.973	1558.71	434.41			343.384		987.472	467.997			
Q9H307	Q9H307	PININ_HUMAN	PNN	Pinin	1111.5	997.685	859.042		1549.62	872.129			798.822		885.799	805.702	1332.88		
Q9H3G5	Q9H3G5	CPVL_HUMAN	CPVL	Probable serine carboxypeptidase CPVL	2696.58	637.968	836.173	3813.14	1605.97	1092.09			1481.35		3655.8	4309.91	5749.49		
Q9H3K6	Q9H3K6	BOLA2_HUMAN	BOLA2	BolA-like protein 2	2544.01	2134.75	3367.34			1810.58			4317.64			2021.37	2485.54		
Q9H3N1	Q9H3N1	TMX1_HUMAN	TMX1	Thioredoxin-related transmembrane protein 1	3573.41	2708.52	1772.7	3938.88	2211.41	3063.01			2056.33		2601.67	3629.95	2389.87	2525.45	419.172
Q9H3P7	Q9H3P7	GCP60_HUMAN	ACBD3	Golgi resident protein GCP60			621.038			675.833						774.261	524.41		
Q9H3R2	Q9H3R2	MUC13_HUMAN	MUC13	Mucin-13	763.191	653.515	1402.6	3295.09	684.536	2147.63			659.099		1323.44	1428.79	440.025		
Q9H3S7	Q9H3S7	PTN23_HUMAN	PTPN23	Tyrosine-protein phosphatase non-receptor type 23	1066.81	1098.27	856.572			1028.52			811.936			1200.64	1037.7		
Q9H3U1	Q9H3U1	UN45A_HUMAN	UNC45A	Protein unc-45 homolog A	2576.28	2323.08	2770.94	4153.63	1928.45		6155.28		2987.99			2478.31	1973.48	5724.73	5527.01
Q9H444	Q9H444	CHM4B_HUMAN	CHMP4B	Charged multivesicular body protein 4b	2038.22	2488.01	2030.4	4778		1856.73			2095.48			1792.97	1489.91		
Q9H4A4	Q9H4A4	AMPB_HUMAN	RNPEP	Aminopeptidase B					512.35	228.52							412.197		
Q9H4G0	Q9H4G0	E41L1_HUMAN	EPB41L1	Band 4.1-like protein 1			866.141		475.709						583.502			902.585	
Q9H4M9	Q9H4M9;Q9NZN3	EHD1_HUMAN	EHD1	EH domain-containing protein 1	830.596	1467.65	1099.62			643.058						832.466	540.63		
Q9H579	Q9H579	MROH8_HUMAN	MROH8	Protein MROH8		15362.4	17490.9	3235.99	11941.8	15612.1			20582.4				20418	6084.57	
Q9H583	Q9H583	HEAT1_HUMAN	HEATR1	HEAT repeat-containing protein 1	860.286	1269.87	1080.85	1235.91	1669.71	686.183			1980.51		1068.21	987.125	1047.05		
Q9H6F5	Q9H6F5	CCD86_HUMAN	CCDC86	Coiled-coil domain-containing protein 86	2152.82	3497.36	1237.01		2002.83	2671.54			4075.96		2182.3	2723.91	1688.06		
Q9H6R0	Q9H6R0	DHX33_HUMAN	DHX33	ATP-dependent RNA helicase DHX33		501.972			550.109				521.308		657.971	374.027			
Q9H6R3	Q9H6R3	ACSS3_HUMAN	ACSS3	Acyl-CoA synthetase short-chain family member 3, mitochondrial	862.964		400.371	979.339	926.111						740.715	1011.7	997.333		
Q9H6R4	Q9H6R4	NOL6_HUMAN	NOL6	Nucleolar protein 6					759.922	1377.49			1979.21		967.424	1268.2			
Q9H6T3	Q9H6T3	RPAP3_HUMAN	RPAP3	RNA polymerase II-associated protein 3	1042.58	900.077	1272.96			820.503			1373.09			874.815	734.462		
Q9H6Z4	Q9H6Z4	RANB3_HUMAN	RANBP3	Ran-binding protein 3	1035.22	800.548	661.015			1132.18			713.603			1391.94	887.352		
Q9H7B2	Q9H7B2	RPF2_HUMAN	RPF2	Ribosome production factor 2 homolog		975.966	724.864	876.549	884.486	726.24			1092.83			538.963	800.002		
Q9H7C9	Q9H7C9	AAMDC_HUMAN	AAMDC	Mth938 domain-containing protein	467.695		792.435			922.115			708.729				274.321		
Q9H7Z7	Q9H7Z7	PGES2_HUMAN	PTGES2	Prostaglandin E synthase 2	833.705	1321.46	739.88	1486.43	678.041	1178.7			669.695	181.776	1485.55	1042.41	535.184		
Q9H853	Q9H853	TBA4B_HUMAN	TUBA4B	Putative tubulin-like protein alpha-4B	5051.84	5319.57							1645.39						
Q9H8H0	Q9H8H0	NOL11_HUMAN	NOL11	Nucleolar protein 11	1289.89	887.939	824.745	1282.39	911.732	954.664			1584.44			847.168	846.586		
Q9H8H3	Q9H8H3	MET7A_HUMAN	METTL7A	Putative methyltransferase-like protein 7A	887.641	1238.53	1097.1	1221.42		1329.96						1450.9	2485.54		
Q9H8Y8	Q9H8Y8	GORS2_HUMAN	GORASP2	Golgi reassembly-stacking protein 2	1501.84	1766.63	989.716			1506.68			1663.89			1605.71	1227.11		
Q9H910	Q9H910	JUPI2_HUMAN	JPT2	Jupiter microtubule associated homolog 2	1336.56	1542.54	832.128			1083.86			1342.99			815.578	1368.72		
Q9H9B4	Q9H9B4	SFXN1_HUMAN	SFXN1	Sideroflexin-1	3452.26	2115.73	3738.98	6388.8	4837.74	4044.39			3405.81		3314.85	3256.56	2018.5		
Q9HAB8	Q9HAB8	PPCS_HUMAN	PPCS	Phosphopantothenate--cysteine ligase	983.631	1948.58	1369.61	758.486		1118.46			981.082			1100.44	1252.66		
Q9HAV7	Q9HAV7	GRPE1_HUMAN	GRPEL1	GrpE protein homolog 1, mitochondrial	2669.61	2504.14	1886.76	3038.61	2357.8	2066.09			2205.39		2612.27	1390.8	1260.97		
Q9HB07	Q9HB07	MYG1_HUMAN	MYG1	MYG1 exonuclease	1692.77	1593.18	2093.76	793.801		2501.98			2058.45			1700.14	1919.04		
Q9HC38	Q9HC38	GLOD4_HUMAN	GLOD4	Glyoxalase domain-containing protein 4	2034.3	1103.98	1823.55		654.089	3028.54	743.186		2101.65		857.478	2614.97	1662.25		
Q9HC77	Q9HC77	CENPJ_HUMAN	CENPJ	Centromere protein J	11216.1	15499.4	12076.7			13028			14049.6			9223.03	6390.99	367.335	
Q9HCC0	Q9HCC0	MCCB_HUMAN	MCCC2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	1447.02	889.874	1044.33	1768.3	1314.03	704.701			792.204	815.922	1808.37	1366.77	751.156		
Q9HCE1	Q9HCE1	MOV10_HUMAN	MOV10	Helicase MOV-10	5283.02	6799.55	6570.56	5505.09		7011.4			3847.03			4886.9	4180.22		
Q9HCU5	Q9HCU5	PREB_HUMAN	PREB	Prolactin regulatory element-binding protein	670.861		846.936		940.539	603.297			1006.11			578.312	952.673		
Q9HD20	Q9HD20	AT131_HUMAN	ATP13A1	Endoplasmic reticulum transmembrane helix translocase	1647.81	2098.02	1472.26	2421.79	1761.99	1523.79			884.026		1433.59	2131.81	1574.98		
Q9HD34	Q9HD34	LYRM4_HUMAN	LYRM4	LYR motif-containing protein 4		1159.65	1134.53	1975.01	890.431				1087.42			792.246			
Q9HD45	Q9HD45	TM9S3_HUMAN	TM9SF3	Transmembrane 9 superfamily member 3	1672.97	2208.72	3124.01	4293.4	4232.65	2458.6			1248.91		3750.81	2939.44	1568.53		
Q9HDC9	Q9HDC9	APMAP_HUMAN	APMAP	Adipocyte plasma membrane-associated protein	667.609			1549.07	821.269	934.352			1108.16		1287.03		437.566		
Q9NP58	Q9NP58	ABCB6_HUMAN	ABCB6	ATP-binding cassette sub-family B member 6	927.628				1191.75							192.312			
Q9NP72	Q9NP72	RAB18_HUMAN	RAB18	Ras-related protein Rab-18	3892.83	3719.02	5510.33	5314.96	6518.74	5456.92			2071.43		3100.96	4283.65	4309.53	2797.33	
Q9NP81	Q9NP81	SYSM_HUMAN	SARS2	Serine--tRNA ligase, mitochondrial	869.174				410.981										
Q9NP97	Q9NP97	DLRB1_HUMAN	DYNLRB1	Dynein light chain roadblock-type 1	1783.14	1486.94	2152.75			983.513			1740.3			2893.98	2709.84	1504.49	834.265
Q9NPA0	Q9NPA0	EMC7_HUMAN	EMC7	ER membrane protein complex subunit 7	978.09				802.566	980.852			536.409		723.522	848.81	671.364		
Q9NPD3	Q9NPD3	EXOS4_HUMAN	EXOSC4	Exosome complex component RRP41	1313.16	1256.39	980.401		1037.59	1558.99			2009.98			1589.05	1430.68		
Q9NPF4	Q9NPF4	OSGEP_HUMAN	OSGEP	Probable tRNA N6-adenosine threonylcarbamoyltransferase		491.986				420.534			985.027			546.101	749.455		
Q9NPJ3	Q9NPJ3	ACO13_HUMAN	ACOT13	Acyl-coenzyme A thioesterase 13	2048.94	1122.48	2357.21	2190.63	2457.14	1437.55			1426.1		1667.17	1171.83	621.437		
Q9NQ55	Q9NQ55	SSF1_HUMAN	PPAN	Suppressor of SWI4 1 homolog	943.228	1956.62	1447.92		1763.78	1411			2514.69		1840.91	1856.36	1159.04		
Q9NQ94	Q9NQ94	A1CF_HUMAN	A1CF	APOBEC1 complementation factor	738.804	1052.87	754.417			461.786			707.316			957.814	940.279		
Q9NQC3	Q9NQC3	RTN4_HUMAN	RTN4	Reticulon-4	4104.84	3996.27	2290.4	4796.87	2364.49	3696.33			1778.81		2291.41	4359.57	1237.38		
Q9NQG5	Q9NQG5	RPR1B_HUMAN	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B	682.174	1479.68	1057.4			1845.22			1241.72			1522.28	1335		
Q9NQH7	Q9NQH7	XPP3_HUMAN	XPNPEP3	Xaa-Pro aminopeptidase 3	986.27	1150.96	426.83		892.253						421.15	912.277			
Q9NQP4	Q9NQP4	PFD4_HUMAN	PFDN4	Prefoldin subunit 4	538.711	638.032	908.715			1523.72			949.021			1224.87	1136.96		
Q9NQS7	Q9NQS7	INCE_HUMAN	INCENP	Inner centromere protein			418.318	1324.35	524.697						508.677		426.613		
Q9NQT4	Q9NQT4	EXOS5_HUMAN	EXOSC5	Exosome complex component RRP46	836.957	373.79	729.054		806.38	717.605			956.974			545.375	652.575		
Q9NQT8	Q9NQT8	KI13B_HUMAN	KIF13B	Kinesin-like protein KIF13B	582.503		928.69			1488.34			904.546			695.31	815.478		
Q9NQW7	Q9NQW7	XPP1_HUMAN	XPNPEP1	Xaa-Pro aminopeptidase 1	1183.01	700.821	1227.08	4432.13		1087.07			1184.61	570.208		808.689	711.099	4514.31	
Q9NQZ2	Q9NQZ2	SAS10_HUMAN	UTP3	Something about silencing protein 10			1170.32		1313.97						1108.18	938.552	1438.95		
Q9NR28	Q9NR28	DBLOH_HUMAN	DIABLO	Diablo IAP-binding mitochondrial protein	974.426		1751.56	1065.13	1831.65				1573.1		2620.45	1280.49	933.154		
Q9NR30	Q9NR30	DDX21_HUMAN	DDX21	Nucleolar RNA helicase 2	5269.76	12002.2	4504.4	2211.77	7884.47	5984.2			9334.91		9248.47	7446.65	4999.86		
Q9NR31	Q9NR31;Q9Y6B6	SAR1A_HUMAN	SAR1A	GTP-binding protein SAR1a	4547.29	5185.61	5934.18	3068.29		5604.51			4160.01		874.808	7000.56	6373.24	1709.7	
Q9NR45	Q9NR45	SIAS_HUMAN	NANS	Sialic acid synthase	1407.98	728.444	2044.35			2808.71			3164.83			1511.37	3794.53		
Q9NRF8	Q9NRF8	PYRG2_HUMAN	CTPS2	CTP synthase 2		843.507	726.305			949.746			475.122				943.545		
Q9NRG1	Q9NRG1	PRDC1_HUMAN	PRTFDC1	Phosphoribosyltransferase domain-containing protein 1	351.125		471.452			723.73			375.515			453.004	456.417		
Q9NRG9	Q9NRG9	AAAS_HUMAN	AAAS	Aladin	1285.13	1210.33	1011.39	1390.42	1058.8	827.871			1000.75		1308.24	865.758	1065.91		
Q9NRL2	Q9NRL2	BAZ1A_HUMAN	BAZ1A	Bromodomain adjacent to zinc finger domain protein 1A		60678.3		123777	94720.4							68773.7	40280.3		
Q9NRN7	Q9NRN7	ADPPT_HUMAN	AASDHPPT	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	553.045	794.219		1270		705.772			828.063			239.114			
Q9NRV9	Q9NRV9	HEBP1_HUMAN	HEBP1	Heme-binding protein 1	1699.25	993.489	2176.06	1043.95	718.387	1183.1			1211.72			1431.6	1454.16		
Q9NRX2	Q9NRX2	RM17_HUMAN	MRPL17	39S ribosomal protein L17, mitochondrial			1008.27	1688.79	1431.64	772.22					1055				
Q9NRX4	Q9NRX4	PHP14_HUMAN	PHPT1	14 kDa phosphohistidine phosphatase	325.9		331.134						106.96				283.889		
Q9NRZ9	Q9NRZ9	HELLS_HUMAN	HELLS	Lymphoid-specific helicase	1364.56					1130.61									
Q9NS69	Q9NS69	TOM22_HUMAN	TOMM22	Mitochondrial import receptor subunit TOM22 homolog	852.886	666.496	547.814	944.305	915.487	432.046			966.169		1939.42	1401.74	1198.25		
Q9NSD9	Q9NSD9	SYFB_HUMAN	FARSB	Phenylalanine--tRNA ligase beta subunit	1816.68	1545.5	1336.75			2084.55			1827.27			1462.38	2672.56	1380.6	
Q9NSE4	Q9NSE4	SYIM_HUMAN	IARS2	Isoleucine--tRNA ligase, mitochondrial	1030.31	1243.66	1019.78	1467.61	2413.79	1601.73			1683.81		1266.25	1566.29	918.089		
Q9NT62	Q9NT62	ATG3_HUMAN	ATG3	Ubiquitin-like-conjugating enzyme ATG3	1202.64	367.865	767.758	557.237		641.97						474.924	781.556		
Q9NTJ3	Q9NTJ3	SMC4_HUMAN	SMC4	Structural maintenance of chromosomes protein 4	1710.29	572.879	1083.19			1001.52			425.855			663.691	685.619		
Q9NTJ5	Q9NTJ5	SAC1_HUMAN	SACM1L	Phosphatidylinositol-3-phosphatase SAC1	1254.61	1453.05	1352.32	2651.72	1355.6	1227.49			1087.99		1472.19	1641.74	1753.03		
Q9NTK5	Q9NTK5	OLA1_HUMAN	OLA1	Obg-like ATPase 1	6080.81	6373.24	4881.84	2023.39	724.763	6785.19			6087.18			5242.66	7097.65	3365.69	
Q9NTZ6	Q9NTZ6	RBM12_HUMAN	RBM12	RNA-binding protein 12	957.791	1386.48	860.152			914.261			1276.83			1261.42	1029.11		
