Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-25-2024_Slot2-94_3888.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3955.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3959.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3968.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-29-2024_Slot2-94_3994.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-2-2024_Slot2-94_4032.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-3-2024_Slot2-94_4061.d
Q9HB07	Q9HB07	MYG1_HUMAN	MYG1	MYG1 exonuclease	1204.4	1470.49	1663.65	1280.31	1057.03	1256.95	1157.67
Q9HB19	Q9HB19	PKHA2_HUMAN	PLEKHA2	Pleckstrin homology domain-containing family A member 2	655.654	437.022	1062.62	704.273	653.872	557.337	817.235
Q9HB40	Q9HB40	RISC_HUMAN	SCPEP1	Retinoid-inducible serine carboxypeptidase	511.979	574.739		573.385	486.709		405.202
Q9HB71	Q9HB71	CYBP_HUMAN	CACYBP	Calcyclin-binding protein	2941.43	3018.09	3711.63	2588.33	3038.39	3338.37	2840.6
Q9HB90;Q9NQL2	Q9NQL2;Q9HB90	RRAGC_HUMAN;RRAGD_HUMAN	RRAGC;RRAGD	Ras-related GTP-binding protein C		373.787		295.192	425.971	353.516	
Q9HBH5	Q9HBH5	RDH14_HUMAN	RDH14	Retinol dehydrogenase 14				264.859		374.41	
Q9HBL7	Q9HBL7	PLRKT_HUMAN	PLGRKT	Plasminogen receptor (KT)		430.033			292.927		321.841
Q9HBL8	Q9HBL8	NMRL1_HUMAN	NMRAL1	NmrA-like family domain-containing protein 1	146.344				151.739		
Q9HC07	Q9HC07	TM165_HUMAN	TMEM165	Transmembrane protein 165	357.57	862.661		448.851	1045.97	660.241	
Q9HC35	Q9HC35	EMAL4_HUMAN	EML4	Echinoderm microtubule-associated protein-like 4	772.779	290.459	691.887	339.27		189.534	610.833
Q9HC38	Q9HC38	GLOD4_HUMAN	GLOD4	Glyoxalase domain-containing protein 4	2524.51	2299.73	2329.01	2289.35	1858.05	2442.22	2507.49
Q9HCC0	Q9HCC0	MCCB_HUMAN	MCCC2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	498.79	667.605		723.073	436.166	650.385	502.718
Q9HCD5	Q9HCD5	NCOA5_HUMAN	NCOA5	Nuclear receptor coactivator 5	565.148	422.161		537.851	1011.3	559.435	
Q9HCE1	Q9HCE1	MOV10_HUMAN	MOV10	Helicase MOV-10	520.508	414.503		770.016	518.437	487.215	679.27
Q9HCN4	Q9HCN4	GPN1_HUMAN	GPN1	GPN-loop GTPase 1	345.001	267.113		173.937		383.543	
Q9HCN8	Q9HCN8	SDF2L_HUMAN	SDF2L1	Stromal cell-derived factor 2-like protein 1	254.118	471.461		451.362	446.356	812.817	297.166
Q9HCS7	Q9HCS7	SYF1_HUMAN	XAB2	Pre-mRNA-splicing factor SYF1		502.978			308.166		861.617
Q9HCU5	Q9HCU5	PREB_HUMAN	PREB	Prolactin regulatory element-binding protein	534.621			317.338	531.516	302.007	325.266
Q9HD15	Q9HD15	SRA1_HUMAN	SRA1	Steroid receptor RNA activator 1	316.017	372.993		519.013		307.948	720.374
Q9HD20	Q9HD20	AT131_HUMAN	ATP13A1	Endoplasmic reticulum transmembrane helix translocase	372.12	475.919		335.865			
Q9HD26	Q9HD26	GOPC_HUMAN	GOPC	Golgi-associated PDZ and coiled-coil motif-containing protein	464.484	202.762		310.737	438.469	386.28	320.647
Q9HD33	Q9HD33	RM47_HUMAN	MRPL47	39S ribosomal protein L47, mitochondrial	577.565	640.31		777.108	459.072	509.471	454.062
Q9HD42	Q9HD42	CHM1A_HUMAN	CHMP1A	Charged multivesicular body protein 1a	342.33	379.904		899.232	563.37		675.003
Q9HD45	Q9HD45	TM9S3_HUMAN	TM9SF3	Transmembrane 9 superfamily member 3	927.387	727.735		893.663	916.657	988.596	1044.05
Q9HDC9	Q9HDC9	APMAP_HUMAN	APMAP	Adipocyte plasma membrane-associated protein	1406.74	1386.13	2434.02	1552.53	1453.79	1483.45	1682.37
Q9NNW7	Q9NNW7	TRXR2_HUMAN	TXNRD2	Thioredoxin reductase 2, mitochondrial	464.143	230.862		613.594	372.265	412.526	253.47
Q9NP58	Q9NP58	ABCB6_HUMAN	ABCB6	ATP-binding cassette sub-family B member 6	414.589	201.865			381.786		
Q9NP61	Q9NP61	ARFG3_HUMAN	ARFGAP3	ADP-ribosylation factor GTPase-activating protein 3	184.748			633.724	1001.36	562.729	1219.05
Q9NP72	Q9NP72	RAB18_HUMAN	RAB18	Ras-related protein Rab-18	504.389	546.42	528.517	593.848	644.143	646.705	939.068
Q9NP74	Q9NP74	PALMD_HUMAN	PALMD	Palmdelphin	358.879			496.574	469.67	556.926	385.188
Q9NP77	Q9NP77	SSU72_HUMAN	SSU72	RNA polymerase II subunit A C-terminal domain phosphatase SSU72	657.62	340.785		324.182	717.486	378.548	320.56
Q9NP79	Q9NP79	VTA1_HUMAN	VTA1	Vacuolar protein sorting-associated protein VTA1 homolog	820.209	946.786	1614.56	948.609	471.269	974.92	774.927
Q9NP81	Q9NP81	SYSM_HUMAN	SARS2	Serine--tRNA ligase, mitochondrial	391.054	531.836			386.078		
Q9NP92	Q9NP92	RT30_HUMAN	MRPS30	39S ribosomal protein S30, mitochondrial	414.639	444.747		537.682			420.072
Q9NP97	Q9NP97	DLRB1_HUMAN	DYNLRB1	Dynein light chain roadblock-type 1	2328.15	1852.74		2190.49	1894.76	1876.8	1964.41
Q9NPA0	Q9NPA0	EMC7_HUMAN	EMC7	ER membrane protein complex subunit 7	622.202	686.895		779.521	544.585	865.363	633.102
Q9NPA8	Q9NPA8	ENY2_HUMAN	ENY2	Transcription and mRNA export factor ENY2	340.714	635.069		360.379	691.158		
Q9NPD3	Q9NPD3	EXOS4_HUMAN	EXOSC4	Exosome complex component RRP41	831.041	945.275		912.553	824.086	551.804	1193.56
Q9NPD8	Q9NPD8	UBE2T_HUMAN	UBE2T	Ubiquitin-conjugating enzyme E2 T	604.23	568.429	743.889	692.492	621.071	516.953	
Q9NPE3	Q9NPE3	NOP10_HUMAN	NOP10	H/ACA ribonucleoprotein complex subunit 3	807.605	725.223		580.213	881.674	766.762	630.827
Q9NPF0	Q9NPF0	CD320_HUMAN	CD320	CD320 antigen	723.396				244.761		287.4
Q9NPF4	Q9NPF4	OSGEP_HUMAN	OSGEP	Probable tRNA N6-adenosine threonylcarbamoyltransferase	502.578	674.712		445.285	392.179	589.107	584.552
Q9NPJ3	Q9NPJ3	ACO13_HUMAN	ACOT13	Acyl-coenzyme A thioesterase 13	392.814	548.124	742.269	644.622	575.873	733.245	520.373
Q9NPQ8	Q9NPQ8;Q9NVN3	RIC8A_HUMAN	RIC8A	Synembryn-A	416.757	236.979		157.571	494.547		770.567
Q9NQ29	Q9NQ29	LUC7L_HUMAN	LUC7L	Putative RNA-binding protein Luc7-like 1	289.122	84.7231			299.574	350.255	192.425
Q9NQ48	Q9NQ48	LZTL1_HUMAN	LZTFL1	Leucine zipper transcription factor-like protein 1	861	1021.7		174.049	667.197	930.772	532.689
Q9NQ50	Q9NQ50	RM40_HUMAN	MRPL40	39S ribosomal protein L40, mitochondrial	294.483	315.14		507.25	206.046	586.226	2424.08
Q9NQ55	Q9NQ55	SSF1_HUMAN	PPAN	Suppressor of SWI4 1 homolog	96.285	186.662			166.763		
Q9NQ88	Q9NQ88	TIGAR_HUMAN	TIGAR	Fructose-2,6-bisphosphatase TIGAR	244.996			132.205			203.167
Q9NQC3	Q9NQC3	RTN4_HUMAN	RTN4	Reticulon-4	509.012	457.044	876.582	563.893	787.23	256.034	600.608
Q9NQG5	Q9NQG5	RPR1B_HUMAN	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B	797.377	734.578		915.344	538.041	804.486	592.43
Q9NQP4	Q9NQP4	PFD4_HUMAN	PFDN4	Prefoldin subunit 4	679.969	806.844	883.63	810.183	474.218	592.412	831.916
Q9NQR4	Q9NQR4	NIT2_HUMAN	NIT2	Omega-amidase NIT2	741.696	715.558		973.912	819.794	802.44	905.979
Q9NQT4	Q9NQT4	EXOS5_HUMAN	EXOSC5	Exosome complex component RRP46	366.101			387.544	823.035	278.274	
Q9NQT5	Q9NQT5	EXOS3_HUMAN	EXOSC3	Exosome complex component RRP40		701.961		414.188	574.553	320.444	606.731
Q9NQW6	Q9NQW6	ANLN_HUMAN	ANLN	Anillin		343.175		343.262	379.515	777.603	
Q9NQW7	Q9NQW7	XPP1_HUMAN	XPNPEP1	Xaa-Pro aminopeptidase 1	215.233	323.409		257.206	327.796	377.929	321.179
Q9NQX3	Q9NQX3	GEPH_HUMAN	GPHN	Gephyrin	497.959	224.35		534.682	479.339	459.335	621.589
Q9NQY0	Q9NQY0	BIN3_HUMAN	BIN3	Bridging integrator 3				386.415	252.825		
Q9NR12	Q9NR12	PDLI7_HUMAN	PDLIM7	PDZ and LIM domain protein 7	3790.8	3938.98	5095	3893.48	3934.58	4058.27	4096.52
Q9NR28	Q9NR28	DBLOH_HUMAN	DIABLO	Diablo IAP-binding mitochondrial protein	329.724	408.737		2399.47	545.551	584.677	449.241
Q9NR30	Q9NR30	DDX21_HUMAN	DDX21	Nucleolar RNA helicase 2	2784.63	2471.69	2293.25	2799.3	3305.16	3012.44	2950.87
Q9NR31	Q9NR31	SAR1A_HUMAN	SAR1A	GTP-binding protein SAR1a	2642.08	2612.29	2330.52	3142.17	2522.55	2293.61	2505.19
Q9NR45	Q9NR45	SIAS_HUMAN	NANS	Sialic acid synthase	1106.34	1596.24	1630.43	1077.12	1101.59	1433.77	1375.51
Q9NR46	Q9NR46	SHLB2_HUMAN	SH3GLB2	Endophilin-B2	315.837	528.98		967.786	724.961	633.762	
Q9NR50	Q9NR50	EI2BG_HUMAN	EIF2B3	Translation initiation factor eIF-2B subunit gamma	512.581	832.784		594.252	547.978		1235.94
Q9NR56	Q5VZF2;Q9NR56;Q9NUK0	MBNL1_HUMAN	MBNL1	Muscleblind-like protein 1	1095.7	979.097		1113.07	1139.85	908.361	882.482
Q9NRF8	Q9NRF8	PYRG2_HUMAN	CTPS2	CTP synthase 2	306.635	331.742		348.825	333.51	506.463	485.756
Q9NRF9	Q9NRF9	DPOE3_HUMAN	POLE3	DNA polymerase epsilon subunit 3	1132.37	1219.86		1347.82		519.419	1416.21
Q9NRG0	Q9NRG0	CHRC1_HUMAN	CHRAC1	Chromatin accessibility complex protein 1	1278.79	1312.92		1457.54		1144.87	965.759
Q9NRG9	Q9NRG9	AAAS_HUMAN	AAAS	Aladin	722.176	640.29	1538.07	880.407	807.019	996.081	608.365
Q9NRL2	Q9NRL2	BAZ1A_HUMAN	BAZ1A	Bromodomain adjacent to zinc finger domain protein 1A	30678.8						
Q9NRL3	Q9NRL3	STRN4_HUMAN	STRN4	Striatin-4	426.563	244.073			238.236		397.423
Q9NRN7	Q9NRN7	ADPPT_HUMAN	AASDHPPT	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	388.352	293.196				421.713	415.06
Q9NRP0	Q9NRP0	OSTC_HUMAN	OSTC	Oligosaccharyltransferase complex subunit OSTC	1108.96	1175.49		1251.97	679.976	1046.19	1122.34
Q9NRR5	Q9NRR5	UBQL4_HUMAN	UBQLN4	Ubiquilin-4		326.16			438.756		
Q9NRV9	Q9NRV9	HEBP1_HUMAN	HEBP1	Heme-binding protein 1	1309.67	1454.35	1633.32	1275.93	981.945	907.062	1174.05
Q9NRW7	Q9NRW7	VPS45_HUMAN	VPS45	Vacuolar protein sorting-associated protein 45				688.505	400.645		180.68
Q9NRX2	Q9NRX2	RM17_HUMAN	MRPL17	39S ribosomal protein L17, mitochondrial	1123.81	950.091		1003.51	1036.89	1151.85	1108.07
Q9NRX4	Q9NRX4	PHP14_HUMAN	PHPT1	14 kDa phosphohistidine phosphatase	760.902	690.579		440.299	626.487	738.36	1258.63
Q9NRZ9	Q9NRZ9	HELLS_HUMAN	HELLS	Lymphoid-specific helicase	343.719			512.355	288.548		
Q9NS69	Q9NS69	TOM22_HUMAN	TOMM22	Mitochondrial import receptor subunit TOM22 homolog	795.57	903.004	872.347	654.867	976.733	631.51	487.501
Q9NSD9	Q9NSD9	SYFB_HUMAN	FARSB	Phenylalanine--tRNA ligase beta subunit	1692.48	1705.37	1882.18	1794.16	1738.43	1783.51	2008.73
Q9NSE4	Q9NSE4	SYIM_HUMAN	IARS2	Isoleucine--tRNA ligase, mitochondrial	1225.7	1070.06	2799.37	966.453	1052.56	1275.95	1185.67
Q9NT62	Q9NT62	ATG3_HUMAN	ATG3	Ubiquitin-like-conjugating enzyme ATG3	581.029	408.144		359.452	656.427	598.37	394.851
Q9NTI5	Q9NTI5	PDS5B_HUMAN	PDS5B	Sister chromatid cohesion protein PDS5 homolog B	319.192	193.399		278.152		95.6137	451.461
Q9NTJ3	Q9NTJ3	SMC4_HUMAN	SMC4	Structural maintenance of chromosomes protein 4	823.742	800.469	1275.44	1004.35	950.284	931.813	1038.68
Q9NTJ5	Q9NTJ5	SAC1_HUMAN	SACM1L	Phosphatidylinositol-3-phosphatase SAC1	449.524	627.15		729.391	413.817	675.567	518.816
Q9NTK5	Q9NTK5	OLA1_HUMAN	OLA1	Obg-like ATPase 1	2491.41	2373.65	1962.4	2269.73	2546.2	2335.88	2547.01
Q9NTX5	Q9NTX5	ECHD1_HUMAN	ECHDC1	Ethylmalonyl-CoA decarboxylase	627.155	520.813		897.32	569.536	768.949	535.627
Q9NTZ6	Q9NTZ6	RBM12_HUMAN	RBM12	RNA-binding protein 12	698.304	571.159	924.331	785.427	693.137	720.083	738.647
Q9NU22	Q9NU22	MDN1_HUMAN	MDN1	Midasin	431.681	321.261		302.445	243.484	827.545	409.549
Q9NUG6	Q9NUG6	PDRG1_HUMAN	PDRG1	p53 and DNA damage-regulated protein 1	260.206			197.307		293.588	
Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	ABHD10	Palmitoyl-protein thioesterase ABHD10, mitochondrial	566.854	484.093		538.061	881.863	594.464	788.695
Q9NUJ3	Q9NUJ3	T11L1_HUMAN	TCP11L1	T-complex protein 11-like protein 1		191.277					
Q9NUL3	Q9NUL3	STAU2_HUMAN	STAU2	Double-stranded RNA-binding protein Staufen homolog 2	249.908	530.368				189.713	
Q9NUP9	Q9NUP9	LIN7C_HUMAN	LIN7C	Protein lin-7 homolog C	458.733	412.547		516.303	509.906	685.407	801.637
Q9NUQ2	Q9NUQ2	PLCE_HUMAN	AGPAT5	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon		237.429			144.468		
Q9NUQ8	Q9NUQ8	ABCF3_HUMAN	ABCF3	ATP-binding cassette sub-family F member 3	487.974	330.377		430.84		513.236	
Q9NUQ9	Q9NUQ9;Q9H0Q0	CYRIB_HUMAN	CYRIB	CYFIP-related Rac1 interactor B	995.824	1369.65	1506.25	1079.5	1022.92	1211.25	1043.71
Q9NUU6	Q9NUU6	OTULL_HUMAN	OTULINL	Inactive ubiquitin thioesterase OTULINL	189.393	999.223		567.48		477.304	1083
Q9NUU7	Q9NUU7;Q9UMR2	DD19A_HUMAN	DDX19A	ATP-dependent RNA helicase DDX19A	744.248	680.063	847.87	643.839	948.633	624.776	885.33
Q9NUY8	Q9NUY8	TBC23_HUMAN	TBC1D23	TBC1 domain family member 23		128.076		196.657		218.383	
Q9NV06	Q9NV06	DCA13_HUMAN	DCAF13	DDB1- and CUL4-associated factor 13		478.456					
Q9NV31	Q9NV31	IMP3_HUMAN	IMP3	U3 small nucleolar ribonucleoprotein protein IMP3	418.245	363.012		644.524	420.402	461.606	620.809
Q9NVA2	Q9NVA2	SEP11_HUMAN	SEPTIN11	Septin-11	1085.97	962.8	1069.76	1267.61	1154.44	909.554	1082.58
Q9NVA4	Q9NVA4	T184C_HUMAN	TMEM184C	Transmembrane protein 184C		221.399		281.094	245.954		
Q9NVD7	Q9NVD7;Q9HBI1	PARVA_HUMAN	PARVA	Alpha-parvin	798.764	610.149		611.587	818.452	620.218	578.409
Q9NVG8	Q9NVG8	TBC13_HUMAN	TBC1D13	TBC1 domain family member 13	555.573	496.311		439.736	455.674	387.404	504.907
Q9NVH1	Q9NVH1	DJC11_HUMAN	DNAJC11	DnaJ homolog subfamily C member 11	440.756	422.087		508.972	259.376	460.585	457.222
Q9NVI1	Q9NVI1	FANCI_HUMAN	FANCI	Fanconi anemia group I protein	450.759	522.86		583.504	594.446	707.609	565.48
Q9NVI7	Q9NVI7	ATD3A_HUMAN	ATAD3A	ATPase family AAA domain-containing protein 3A	2077.52	2332.5	3090.44	2689.56	2192.96	2300.74	2488.21
Q9NVJ2	Q9NVJ2;Q96BM9	ARL8B_HUMAN	ARL8B	ADP-ribosylation factor-like protein 8B	1186.13	1604.42	1140.31	701.942	1078.95	1051.37	1139.43
Q9NVM6	Q9NVM6	DJC17_HUMAN	DNAJC17	DnaJ homolog subfamily C member 17	131.187	89.5854		334.449			375.461
Q9NVM9	Q9NVM9	INT13_HUMAN	INTS13	Integrator complex subunit 13	304.026				316.661		
Q9NVN8	Q9NVN8	GNL3L_HUMAN	GNL3L	Guanine nucleotide-binding protein-like 3-like protein						681.844	690.152
Q9NVP1	Q9NVP1	DDX18_HUMAN	DDX18	ATP-dependent RNA helicase DDX18	987.268	985.507	1906.96	1009.02	1220.2	977.677	984.595
Q9NVP2;Q9Y294	Q9NVP2;Q9Y294	ASF1A_HUMAN;ASF1B_HUMAN	ASF1A;ASF1B	Histone chaperone ASF1B	962.755	1010.59		824.062	932.188	1118.71	766.668
Q9NVS2	Q9NVS2	RT18A_HUMAN	MRPS18A	39S ribosomal protein S18a, mitochondrial					2311.73	1325.17	
Q9NVS9	Q9NVS9	PNPO_HUMAN	PNPO	Pyridoxine-5'-phosphate oxidase	840.426	714.828		779.325	917.562	979.664	466.524
Q9NVT9	Q9NVT9	ARMC1_HUMAN	ARMC1	Armadillo repeat-containing protein 1	347.681	183.494		378.372	283.862		
Q9NVU7	Q9NVU7	SDA1_HUMAN	SDAD1	Protein SDA1 homolog	563.361	283.731		228.669	497.42		373.273
Q9NVV4	Q9NVV4	PAPD1_HUMAN	MTPAP	Poly(A) RNA polymerase, mitochondrial		268.978		155.043			
Q9NVX2	Q9NVX2	NLE1_HUMAN	NLE1	Notchless protein homolog 1	356.777	265.615					
Q9NVZ3	Q9NVZ3	NECP2_HUMAN	NECAP2	Adaptin ear-binding coat-associated protein 2	460.442	468.425		442.924		269.816	495.15
Q9NW13	Q9NW13	RBM28_HUMAN	RBM28	RNA-binding protein 28	363.632	462.983		496.124	454.081	333.276	772.574
Q9NW15	Q9NW15	ANO10_HUMAN	ANO10	Anoctamin-10	358.569						520.8
Q9NW64	Q9NW64	RBM22_HUMAN	RBM22	Pre-mRNA-splicing factor RBM22	186.197			767.646	324.092		406.366
Q9NW81	Q9NW81	DMAC2_HUMAN	DMAC2	Distal membrane-arm assembly complex protein 2		307.084					
Q9NW82	Q9NW82	WDR70_HUMAN	WDR70	WD repeat-containing protein 70	532.066	696.869		758.106	749.516	502.989	
Q9NWB6	Q9NWB6	ARGL1_HUMAN	ARGLU1	Arginine and glutamate-rich protein 1	902.592	662.181		1261.41	661.418	873.391	809.266
Q9NWH9	Q9NWH9	SLTM_HUMAN	SLTM	SAFB-like transcription modulator	805.653			445.814	545.22	478.243	573.501
Q9NWS0	Q9NWS0	PIHD1_HUMAN	PIH1D1	PIH1 domain-containing protein 1	372.013	666.331	548.869	737.853	535.047	623.171	672.003
Q9NWT1	Q9NWT1	PK1IP_HUMAN	PAK1IP1	p21-activated protein kinase-interacting protein 1	330.367						
Q9NWU2	Q9NWU2	GID8_HUMAN	GID8	Glucose-induced degradation protein 8 homolog	264.814	209.241					
Q9NWU5	Q9NWU5	RM22_HUMAN	MRPL22	39S ribosomal protein L22, mitochondrial	483.451	526.985		596.123	396.358	538.356	
Q9NWV4	Q9NWV4	CZIB_HUMAN	CZIB	CXXC motif containing zinc binding protein	394.759	468.886		894.327	465.089	325.159	1057.19
Q9NWX6	Q9NWX6	THG1_HUMAN	THG1L	Probable tRNA(His) guanylyltransferase		157.68		280.139	333.084		
Q9NWY4	Q9NWY4	HPF1_HUMAN	HPF1	Histone PARylation factor 1	255.949	434.91					
Q9NX14	Q9NX14	NDUBB_HUMAN	NDUFB11	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial	1889.49	1348.62	1871.56	1483.41	1922.44	1336.11	1401.43
Q9NX18	Q9NX18	SDHF2_HUMAN	SDHAF2	Succinate dehydrogenase assembly factor 2, mitochondrial	1033.32	979.202		754.652	1595.18	967.087	
Q9NX20	Q9NX20	RM16_HUMAN	MRPL16	39S ribosomal protein L16, mitochondrial	585.206	685.945		707.768	412.287	767.794	632.39
Q9NX24	Q9NX24	NHP2_HUMAN	NHP2	H/ACA ribonucleoprotein complex subunit 2	1002.1	883.109	678.214	910.674	825.639	953.77	1093.78
Q9NX40	Q9NX40	OCAD1_HUMAN	OCIAD1	OCIA domain-containing protein 1	1225.07	1129.76		967.304	1020.06	1199.63	1521.39
Q9NX46	Q9NX46	ADPRS_HUMAN	ADPRS	ADP-ribosylhydrolase ARH3	663.581	493.809		1440.32	716.885	819.693	772.74
Q9NX55	Q9NX55	HYPK_HUMAN	HYPK	Huntingtin-interacting protein K	508.602	654.258		488.982	352.941	457.817	
Q9NX58	Q9NX58	LYAR_HUMAN	LYAR	Cell growth-regulating nucleolar protein	292.543	304.525		737.046		378.791	330.993
Q9NX62	Q9NX62	IMPA3_HUMAN	BPNT2	Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase					186.574	242.437	
Q9NX63	Q9NX63	MIC19_HUMAN	CHCHD3	MICOS complex subunit MIC19	1640.01	1380.33	2234.99	802.947	1756.49	1525.02	1580.64
Q9NXE4	Q9NXE4	NSMA3_HUMAN	SMPD4	Sphingomyelin phosphodiesterase 4	204.581	437.135		193.509	238.074	499.478	
Q9NXF1	Q9NXF1	TEX10_HUMAN	TEX10	Testis-expressed protein 10	640.408	815.907			372.029		
Q9NXG2	Q9NXG2	THUM1_HUMAN	THUMPD1	THUMP domain-containing protein 1	146.154	424.831		425.924	389.118	429.12	404.242
Q9NXH9	Q9NXH9	TRM1_HUMAN	TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase	580.06	377.322		227.156	532.55	403.273	660.014
Q9NXR7	Q9NXR7	BABA2_HUMAN	BABAM2	BRISC and BRCA1-A complex member 2	543.967	402.138	832.205	421.088			209.17
Q9NXS2	Q9NXS2	QPCTL_HUMAN	QPCTL	Glutaminyl-peptide cyclotransferase-like protein	399.099			411.634		591.021	293.236
Q9NXV6	Q9NXV6	CARF_HUMAN	CDKN2AIP	CDKN2A-interacting protein	516.828	426.258		375.059	295.532	477.708	665.863
Q9NY12	Q9NY12	GAR1_HUMAN	GAR1	H/ACA ribonucleoprotein complex subunit 1	1259.19	1466.67	1277.33	2107.49	2024.81	1286.13	1233.09
Q9NY27	Q9NY27	PP4R2_HUMAN	PPP4R2	Serine/threonine-protein phosphatase 4 regulatory subunit 2	265.63	247.78					
Q9NY33	Q9NY33	DPP3_HUMAN	DPP3	Dipeptidyl peptidase 3	667.302	601.636		731.354	690.881	433.196	761.954
Q9NY61	Q9NY61	AATF_HUMAN	AATF	Protein AATF	318.598						
Q9NY93	Q9NY93	DDX56_HUMAN	DDX56	Probable ATP-dependent RNA helicase DDX56	639.172	615.009	700.347		154.834	698.649	334.456
Q9NYF8	Q9NYF8	BCLF1_HUMAN	BCLAF1	Bcl-2-associated transcription factor 1	1100.95	1168.32	1244.54	1488.98	1452.35	1693.28	1250.67
Q9NYJ1	Q9NYJ1	COA4_HUMAN	COA4	Cytochrome c oxidase assembly factor 4 homolog, mitochondrial		620.983		551.812	383.653		306.228
Q9NYK5	Q9NYK5	RM39_HUMAN	MRPL39	39S ribosomal protein L39, mitochondrial	347.16	743.114	1320.41	611.547	335.217	528.333	607.992
Q9NYL4	Q9NYL4	FKB11_HUMAN	FKBP11	Peptidyl-prolyl cis-trans isomerase FKBP11	754.791	843.63		718.9	500.757	660.751	552.884
Q9NYL9	Q9NYL9	TMOD3_HUMAN	TMOD3	Tropomodulin-3	1386.46	1462.08	2349.12	1455.14	1293.99	1524.39	1514.81
Q9NYP7	Q9NYP7	ELOV5_HUMAN	ELOVL5	Elongation of very long chain fatty acids protein 5	662.173			617.49	400.491	564.794	439.091
Q9NYU2	Q9NYU2	UGGG1_HUMAN	UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1	845.156	793.752	1430.68	837.274	804.072	666.806	733.196
Q9NYY8	Q9NYY8	FAKD2_HUMAN	FASTKD2	FAST kinase domain-containing protein 2, mitochondrial	334.59						
Q9NZ01	Q9NZ01	TECR_HUMAN	TECR	Very-long-chain enoyl-CoA reductase	1414.19	1303.75	587.538	1244.95	1218.87	1296.97	958.155
Q9NZ08	Q9NZ08	ERAP1_HUMAN	ERAP1	Endoplasmic reticulum aminopeptidase 1		243.261		426.272			
Q9NZ45	Q9NZ45	CISD1_HUMAN	CISD1	CDGSH iron-sulfur domain-containing protein 1	873.175	1050.68		711.253	1206.24	597.759	1594.31
Q9NZ63	Q9NZ63	TLS1_HUMAN	C9orf78	Telomere length and silencing protein 1 homolog	562.983	428.796		516.23	520.286	432.581	448.933
Q9NZB2	Q9NZB2	F120A_HUMAN	FAM120A	Constitutive coactivator of PPAR-gamma-like protein 1	701.355	1081.75		1135.18	887.435	725.805	1016.58
Q9NZD8	Q9NZD8	SPG21_HUMAN	SPG21	Maspardin	395.209	342.435					
Q9NZE8	Q9NZE8	RM35_HUMAN	MRPL35	39S ribosomal protein L35, mitochondrial	288.191			363.514	182.999	178.725	
Q9NZI8	Q9NZI8	IF2B1_HUMAN	IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 1	564.715	449.113	966.536	605.135	745.199	1088.6	532.249
Q9NZJ0	Q9NZJ0	DTL_HUMAN	DTL	Denticleless protein homolog		163.262					
Q9NZJ7	Q9NZJ7	MTCH1_HUMAN	MTCH1	Mitochondrial carrier homolog 1	1522.89	1170.69	4573.11	1748.33	1220.15	1449.91	1036.43
Q9NZL4	Q9NZL4	HPBP1_HUMAN	HSPBP1	Hsp70-binding protein 1	440.367	462.6		500.447	726.331	599.039	600.088
Q9NZL9	Q9NZL9	MAT2B_HUMAN	MAT2B	Methionine adenosyltransferase 2 subunit beta	948.986	1244.83	867.33	1299.59	1357.6	1248.22	1262.77
Q9NZM1	Q9NZM1	MYOF_HUMAN	MYOF	Myoferlin	1513.18	1457.18	1630.3	1489.4	1475.9	1433.19	1406.27
Q9NZN4	Q9NZN4	EHD2_HUMAN	EHD2	EH domain-containing protein 2	986.584	979.616	1495.58	1222.1	1205.27	1137.05	1010.95
Q9NZN8	Q9NZN8	CNOT2_HUMAN	CNOT2	CCR4-NOT transcription complex subunit 2	282.313				436.041	222.316	275
Q9NZQ3	Q9NZQ3	SPN90_HUMAN	NCKIPSD	NCK-interacting protein with SH3 domain	429.333	743.291		228.668			
Q9NZT2	Q9NZT2	OGFR_HUMAN	OGFR	Opioid growth factor receptor	345.679	429.457		582.484	365.873	373.719	506.975
Q9NZW5	Q9NZW5	PALS2_HUMAN	PALS2	Protein PALS2							401.949
