Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-209_4256.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-210_4257.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-211_4258.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-213_4260.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-219_4267.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-220_4268.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-221_4269.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-12-2024_Slot1-222_4289.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-52_4249.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-53_4250.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-54_4251.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-55_4252.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-56_4253.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-74_4264.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-75_4265.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-76_4266.d
Q9NTZ6	Q9NTZ6	RBM12_HUMAN	RBM12	RNA-binding protein 12			6850.11	5340.86	19723.1		2805.83	18203.7		9468.61				7510.22	10238.8	
Q9NU22	Q9NU22	MDN1_HUMAN	MDN1	Midasin										6730.64						
Q9NUI1	Q9NUI1	DECR2_HUMAN	DECR2	"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]"		8787.07	8900.89	14630.8												
Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	ABHD10	"Palmitoyl-protein thioesterase ABHD10, mitochondrial"			23699.8						13755.3			12916.9				
Q9NUL3	Q9NUL3	STAU2_HUMAN	STAU2	Double-stranded RNA-binding protein Staufen homolog 2															15211.5	
Q9NUL5	Q9NUL5	SHFL_HUMAN	SHFL	Shiftless antiviral inhibitor of ribosomal frameshifting protein		5029.57		4379.81							1946.93					
Q9NUL7	Q9NUL7	DDX28_HUMAN	DDX28	Probable ATP-dependent RNA helicase DDX28														30563.3		
Q9NUM4	Q9NUM4	T106B_HUMAN	TMEM106B	Transmembrane protein 106B			16795.7				20134.7									
Q9NUN5	Q9NUN5	LMBD1_HUMAN	LMBRD1	Lysosomal cobalamin transport escort protein LMBD1				3271.19												
Q9NUQ2	Q9NUQ2	PLCE_HUMAN	AGPAT5	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon				38225.8								7315.25				
Q9NUQ3	Q9NUQ3	TXLNG_HUMAN	TXLNG	Gamma-taxilin								7819.58								
Q9NUQ6	Q9NUQ6	SPS2L_HUMAN	SPATS2L	SPATS2-like protein							2.13E+06	62115.6						71464		
Q9NUQ7	Q9NUQ7	UFSP2_HUMAN	UFSP2	Ufm1-specific protease 2									15723.5							13858.4
Q9NUQ8	Q9NUQ8	ABCF3_HUMAN	ABCF3	ATP-binding cassette sub-family F member 3			4392.35	7855.13	15202.8	9303.64		6362.2		6546.02				26062		3757.59
Q9NUQ9	Q9NUQ9;Q9H0Q0	CYRIB_HUMAN	CYRIB	CYFIP-related Rac1 interactor B	11318.9			11324.2	51053.2	8354.78			7486.37	10340				9535.46		
Q9NUU7	Q9NUU7;Q9UMR2	DD19A_HUMAN	DDX19A	ATP-dependent RNA helicase DDX19A	15429		5346.14	9072.47	16714.9		14282.4	12536.4		37666.6	5319.36			18356.3	28424.8	7743.28
Q9NUY8	Q9NUY8	TBC23_HUMAN	TBC1D23	TBC1 domain family member 23										23785.4						
Q9NV06	Q9NV06	DCA13_HUMAN	DCAF13	DDB1- and CUL4-associated factor 13				6855.15			5319.21									
Q9NV31	Q9NV31	IMP3_HUMAN	IMP3	U3 small nucleolar ribonucleoprotein protein IMP3		8754.91	9720.21	4046.4	9470.53			10626.4	5619.09							
Q9NV70	Q9NV70	EXOC1_HUMAN	EXOC1	Exocyst complex component 1	51738.7	34073.9	100489	25914.7	55173.4	31246.7	68491.8	43208.1	33529.4	25142.7	39765.1		42916.5	39615		23381.5
Q9NVA1	Q9NVA1	UQCC1_HUMAN	UQCC1	Ubiquinol-cytochrome-c reductase complex assembly factor 1			45962.3								5371.31					
Q9NVA2	Q9NVA2	SEP11_HUMAN	SEPTIN11	Septin-11	19657.2		8267.6	22371.2	13247.1	13267.5	21399.3	31981.1	21726.4	11162.9	34730.6		15064.6	23757.4	22562.8	23013.1
Q9NVA4	Q9NVA4	T184C_HUMAN	TMEM184C	Transmembrane protein 184C				1508.83												
Q9NVD7	Q9NVD7	PARVA_HUMAN	PARVA	Alpha-parvin			4329.57	7609.73	7568.13	5860.51	37621	21871.2	3650		6404.91		906.999	7337.53	19888.7	
Q9NVE7	Q9NVE7	PANK4_HUMAN	PANK4	4'-phosphopantetheine phosphatase				6324.99	9559.61											
Q9NVG8	Q9NVG8	TBC13_HUMAN	TBC1D13	TBC1 domain family member 13				8161.3												
Q9NVH1	Q9NVH1	DJC11_HUMAN	DNAJC11	DnaJ homolog subfamily C member 11		9104.05	10973.5	8934.3						110401						12919.6
Q9NVI7	Q9NVI7	ATD3A_HUMAN	ATAD3A	ATPase family AAA domain-containing protein 3A	19520.2	22399.2	27793.8	17144.8	20107.2	14898.4	23011.1	16653.9	16532.7	24933.2	12256.3	18258.4	17143.4	20032.2	15464.9	15089.5
Q9NVJ2	Q9NVJ2;Q96BM9	ARL8B_HUMAN	ARL8B	ADP-ribosylation factor-like protein 8B			10845.4	15958.9	14396.2	10585		39451.5			22808.9			7807.97		25162.5
Q9NVM4	Q9NVM4	ANM7_HUMAN	PRMT7	Protein arginine N-methyltransferase 7									57931.4							
Q9NVM9	Q9NVM9	INT13_HUMAN	INTS13	Integrator complex subunit 13			5102.59	2971.02												
Q9NVP1	Q9NVP1	DDX18_HUMAN	DDX18	ATP-dependent RNA helicase DDX18	9008.72		26324.4	5703.89	31441.2	20156.9	18046.7	5252.44	9169.65	24207.4			34897.2	13127.7	34995.9	
Q9NVR2	Q9NVR2	INT10_HUMAN	INTS10	Integrator complex subunit 10														8274.87		
Q9NVS2	Q9NVS2	RT18A_HUMAN	MRPS18A	"39S ribosomal protein S18a, mitochondrial"				32622		12114.5	25576.4					9232.76				
Q9NVS9	Q9NVS9	PNPO_HUMAN	PNPO	Pyridoxine-5'-phosphate oxidase								22168.2								
Q9NVT9	Q9NVT9	ARMC1_HUMAN	ARMC1	Armadillo repeat-containing protein 1						7667.97					8822.89					
Q9NVU0	Q9NVU0	RPC5_HUMAN	POLR3E	DNA-directed RNA polymerase III subunit RPC5			14418.4													
Q9NVX2	Q9NVX2	NLE1_HUMAN	NLE1	Notchless protein homolog 1				6289.33												
Q9NVZ3	Q9NVZ3	NECP2_HUMAN	NECAP2	Adaptin ear-binding coat-associated protein 2				7800.78			6599.8	18890.2	9236.12		9534.59					
Q9NW13	Q9NW13	RBM28_HUMAN	RBM28	RNA-binding protein 28			4527.44	7528.16	10599.4											
Q9NW15	Q9NW15	ANO10_HUMAN	ANO10	Anoctamin-10			10233		44750.2							3577.8				
Q9NW82	Q9NW82	WDR70_HUMAN	WDR70	WD repeat-containing protein 70										20955.9						
Q9NWB6	Q9NWB6	ARGL1_HUMAN	ARGLU1	Arginine and glutamate-rich protein 1		12701.8	7423.81	4551.55			12527.5	11754.1						4603.9		
Q9NWH9	Q9NWH9	SLTM_HUMAN	SLTM	SAFB-like transcription modulator	8707.1	10910.3	7113.52	2886.94		4194.04			8967.46	7121.75		16907.7		6167.98		
Q9NWM8	Q9NWM8	FKB14_HUMAN	FKBP14	Peptidyl-prolyl cis-trans isomerase FKBP14			5162.27													
Q9NWS0	Q9NWS0	PIHD1_HUMAN	PIH1D1	PIH1 domain-containing protein 1				8343.77				12290.6								
Q9NWS8	Q9NWS8	RMND1_HUMAN	RMND1	Required for meiotic nuclear division protein 1 homolog			9827.13	2395.36								51411.5	11375.3			
Q9NWT1	Q9NWT1	PK1IP_HUMAN	PAK1IP1	p21-activated protein kinase-interacting protein 1					5904.49											
Q9NWT8	Q9NWT8	AKIP_HUMAN	AURKAIP1	Aurora kinase A-interacting protein							8568.42									
Q9NWU5	Q9NWU5	RM22_HUMAN	MRPL22	"39S ribosomal protein L22, mitochondrial"		9707.71	19738.2	9563.92		12526.5			13877.5							
Q9NWV4	Q9NWV4	CZIB_HUMAN	CZIB	CXXC motif containing zinc binding protein				8858.06	18057.4		14164.7	23953.9	27368.7	9764.96	10529.6			14114.5	16257.7	
Q9NWV8	Q9NWV8	BABA1_HUMAN	BABAM1	BRISC and BRCA1-A complex member 1				2522.91												
Q9NWZ3	Q9NWZ3	IRAK4_HUMAN	IRAK4	Interleukin-1 receptor-associated kinase 4																7336.43
Q9NX05	Q9NX05	F120C_HUMAN	FAM120C	Constitutive coactivator of PPAR-gamma-like protein 2									22729							
Q9NX14	Q9NX14	NDUBB_HUMAN	NDUFB11	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial"		14391.2	31967.6	15257.8	5950.46				18001.3	8708.18	16949.7			9346.13		6111.57
Q9NX20	Q9NX20	RM16_HUMAN	MRPL16	"39S ribosomal protein L16, mitochondrial"		1669.47		7908.1					8827.92	3791.23					9292.48	
Q9NX24	Q9NX24	NHP2_HUMAN	NHP2	H/ACA ribonucleoprotein complex subunit 2			8456.95		11185.2	9434.1				9048.99						
Q9NX40	Q9NX40	OCAD1_HUMAN	OCIAD1	OCIA domain-containing protein 1		17979.1	23918.1	15221.2	11527.3	13607.1		25073.6	22565.4	21481.3	23327.1	25097.9		9125.57	16738.8	12073.1
Q9NX46	Q9NX46	ADPRS_HUMAN	ADPRS	ADP-ribosylhydrolase ARH3	12233.4			11881.4		30097	19905.2	11535.5	21363.7	18494.4	20687.9					19011.5
Q9NX55	Q9NX55	HYPK_HUMAN	HYPK	Huntingtin-interacting protein K							38600.1									
Q9NX62	Q9NX62	IMPA3_HUMAN	BPNT2	"Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase"					11874.1											
Q9NX63	Q9NX63	MIC19_HUMAN	CHCHD3	MICOS complex subunit MIC19	15116	20460	32386.1	13607.9	17240.9	27521.1	13889.8	13366.6	23219.6	25789	19907.1	25273.6	71422.3	14245.6	7279.79	11099.2
Q9NXD2	Q9NXD2	MTMRA_HUMAN	MTMR10	Myotubularin-related protein 10				1742.55												
Q9NXF1	Q9NXF1	TEX10_HUMAN	TEX10	Testis-expressed protein 10			6052.89	4287.63							19293.5					
Q9NXF7	Q9NXF7	DCA16_HUMAN	DCAF16	DDB1- and CUL4-associated factor 16									3680.6							
Q9NXG2	Q9NXG2	THUM1_HUMAN	THUMPD1	THUMP domain-containing protein 1			7011.98	12000.5						10550.5						
Q9NXH8	Q9NXH8	TOR4A_HUMAN	TOR4A	Torsin-4A				3362.54						15274.7		22627.2		11106.2		20016.3
Q9NXH9	Q9NXH9	TRM1_HUMAN	TRMT1	tRNA (guanine(26)-N(2))-dimethyltransferase				4882.19			7828.05			7429.95					12350	
Q9NXN4	Q9NXN4	GDAP2_HUMAN	GDAP2	Ganglioside-induced differentiation-associated protein 2					23654.9											
Q9NXU5	Q9NXU5	ARL15_HUMAN	ARL15	ADP-ribosylation factor-like protein 15											6586.84					
Q9NXV6	Q9NXV6	CARF_HUMAN	CDKN2AIP	CDKN2A-interacting protein				7555.06												5727.32
Q9NY12	Q9NY12	GAR1_HUMAN	GAR1	H/ACA ribonucleoprotein complex subunit 1		22867.4	8213.95	15727.7		30839.4	7609.12			12090.7						
Q9NY27	Q9NY27	PP4R2_HUMAN	PPP4R2	Serine/threonine-protein phosphatase 4 regulatory subunit 2	3093.68	20026.1													20795.3	
Q9NY33	Q9NY33	DPP3_HUMAN	DPP3	Dipeptidyl peptidase 3	19508.3		218254	26411.2	11218.1	8334.19	9716.25	21635.2	29493.1	12895.5	47287.7			24307.8	63337.2	22168.3
Q9NY61	Q9NY61	AATF_HUMAN	AATF	Protein AATF				8062.03												
Q9NY93	Q9NY93	DDX56_HUMAN	DDX56	Probable ATP-dependent RNA helicase DDX56			6440.13							6325						
Q9NYB9	Q9NYB9	ABI2_HUMAN	ABI2	Abl interactor 2				6758.82										8335		
Q9NYF8	Q9NYF8	BCLF1_HUMAN	BCLAF1	Bcl-2-associated transcription factor 1	10846.5	30122.6	25632.4	19591.5	21553.1	18528.3	31073.8	30841.1	25232.4	16515.1	21821.7	22303.8		20811.2	16222.2	17534.3
Q9NYH9	Q9NYH9	UTP6_HUMAN	UTP6	U3 small nucleolar RNA-associated protein 6 homolog						11008.3										
Q9NYK5	Q9NYK5	RM39_HUMAN	MRPL39	"39S ribosomal protein L39, mitochondrial"			12217	8727.14		19587.3	28807.3			20536.1		7055.89				19227.3
Q9NYL4	Q9NYL4	FKB11_HUMAN	FKBP11	Peptidyl-prolyl cis-trans isomerase FKBP11		26913.7	52828.8	38381.7	21594.5	16103.2			62449.1		23945.9	38443.9		14672.5		
Q9NYL9	Q9NYL9	TMOD3_HUMAN	TMOD3	Tropomodulin-3	19806.6	7123.74	13494	13874.8	10990.5	11317.3	47514.6	10442.9	14948.7	9427.92	21999.2		38169.5	15816	44022.1	
Q9NYU1	Q9NYU1	UGGG2_HUMAN	UGGT2	UDP-glucose:glycoprotein glucosyltransferase 2			10644.6	6268.47						13043.1				13588.3	29947.7	
Q9NYU2	Q9NYU2	UGGG1_HUMAN	UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1	6450.42	14312.7	18563.1	10817.9	13306.2	8518.19	9498.3	12130.3	17124.8	17735.2	15438.6	10138		12122.6	24979.5	
Q9NZ01	Q9NZ01	TECR_HUMAN	TECR	Very-long-chain enoyl-CoA reductase			12450.3		10551.2					6924.36	13703.1	10620.2				20829.9
Q9NZ08	Q9NZ08	ERAP1_HUMAN	ERAP1	Endoplasmic reticulum aminopeptidase 1		51960.8	25649	20109.3	17821.7	27061.9		33895.1	25143.6	32628.8	19476.7	46896		11494.3	15443.4	14697.7
Q9NZ32	Q9NZ32	ARP10_HUMAN	ACTR10	Actin-related protein 10				30191.8		26740.3			66138.5		47716.5					
Q9NZ43	Q9NZ43	USE1_HUMAN	USE1	Vesicle transport protein USE1						11155.1										
Q9NZ45	Q9NZ45	CISD1_HUMAN	CISD1	CDGSH iron-sulfur domain-containing protein 1			13146						11776.7							
Q9NZB2	Q9NZB2	F120A_HUMAN	FAM120A	Constitutive coactivator of PPAR-gamma-like protein 1	6642.2		12961.8	7353.85	14153	15742.5	14897.3		21042.7	7526.71	15338.5			7560.52		15361
Q9NZC9	Q9NZC9	SMAL1_HUMAN	SMARCAL1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1								6282.54								
Q9NZD2	Q9NZD2	GLTP_HUMAN	GLTP	Glycolipid transfer protein			27043.4	8014.65	35853.5				15629.2					6923.96		
Q9NZD8	Q9NZD8	SPG21_HUMAN	SPG21	Maspardin						1892.01				8602.45	3074.19			9484.09		
Q9NZE8	Q9NZE8	RM35_HUMAN	MRPL35	"39S ribosomal protein L35, mitochondrial"		4284.95	10413.7	5541.28												
Q9NZI8	Q9NZI8	IF2B1_HUMAN	IGF2BP1	Insulin-like growth factor 2 mRNA-binding protein 1	20159	26670.5	11913	15434.1	16562.4	13890.6	27307.8		18868.4		23450.2			11521.1	19172.6	16023.7
Q9NZJ4	Q9NZJ4	SACS_HUMAN	SACS	Sacsin				12894.9	27539.8	25400.2			34574.9				4927.04	16951.8	32520	
Q9NZJ7	Q9NZJ7	MTCH1_HUMAN	MTCH1	Mitochondrial carrier homolog 1			13302.4	6686.51	25558.7			8877.02			31945.1	7553.17				
Q9NZJ9	A0A024RBG1;Q9NZJ9	NUDT4_HUMAN	NUDT4	Diphosphoinositol polyphosphate phosphohydrolase 2				2660.66	18254.4											
Q9NZL4	Q9NZL4	HPBP1_HUMAN	HSPBP1	Hsp70-binding protein 1				3865.65	20986.5		14816.8			17710.9				10206.2		15010.2
Q9NZL9	Q9NZL9	MAT2B_HUMAN	MAT2B	Methionine adenosyltransferase 2 subunit beta	25718.1	12891.7	9976.73	12796.8	10353.4	21218.7	34748.2	13305.3	14017.3	28282.2	14927.9		11583.4	16650.3	20139.2	40694.7
Q9NZM1	Q9NZM1	MYOF_HUMAN	MYOF	Myoferlin	40062.3	52144.7	66823.4	44205.3	18129.3	38559.1	25725.6	43763.6	22257.9	38831.4	26981	40091.9	30221.5	25862.2	42828.6	28331
Q9NZN4	Q9NZN4	EHD2_HUMAN	EHD2	EH domain-containing protein 2	7513.02		2547.51	38930.1	25628.6	15351.9	9088.68	23026.8	29308.7	33315.5	42197.5		22319.5	16227.3	7028.81	25274.3
Q9NZN5	Q9NZN5	ARHGC_HUMAN	ARHGEF12	Rho guanine nucleotide exchange factor 12				3938.64												
Q9NZQ7	Q9NZQ7	PD1L1_HUMAN	CD274	Programmed cell death 1 ligand 1		6824.68		19486.2		15744.6										
Q9NZR1	Q9NZR1	TMOD2_HUMAN	TMOD2	Tropomodulin-2			5493.96													
Q9NZT1	Q9NZT1	CALL5_HUMAN	CALML5	Calmodulin-like protein 5	80797.4	61413.3	52736.4	27747.9	80888.7	79891.2	77697	92720.1	82976.9	86224.5	73736.5	68969.1	92341.9	56220.2	64670.5	82685.8
Q9NZT2	Q9NZT2	OGFR_HUMAN	OGFR	Opioid growth factor receptor				3817.82	16297.6		18805.9	9534.48								
Q9NZV5	Q9NZV5	SELN_HUMAN	SELENON	Selenoprotein N										17906						
Q9NZW5	Q9NZW5	PALS2_HUMAN	PALS2	Protein PALS2				3455.59		11954.2			14035.3			8948.97				
Q9P013	Q9P013	CWC15_HUMAN	CWC15	Spliceosome-associated protein CWC15 homolog	12542.4			2947.61												
Q9P015	Q9P015	RM15_HUMAN	MRPL15	"39S ribosomal protein L15, mitochondrial"	21884			9587.25	6774.96	8810.51	4076.08	14072.4				12952.8		3864.72		
Q9P032	Q9P032	NDUF4_HUMAN	NDUFAF4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4				5650.25												
Q9P0I2	Q9P0I2	EMC3_HUMAN	EMC3	ER membrane protein complex subunit 3		17151	11617.6	4055.78										9489.05		
Q9P0J0	Q9P0J0	NDUAD_HUMAN	NDUFA13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	12894.8	19370.6	18867.5	13205.5		16495.1			11625.3	18487.5	15037.9			6654.64		
Q9P0J1	Q9P0J1	PDP1_HUMAN	PDP1	"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial"			24003.5	8420.69												
Q9P0K7	Q9P0K7	RAI14_HUMAN	RAI14	Ankycorbin	12020.4	9360.93	14569.9	20306	11296.2	18799.5	6399.31		12390.3	8954.95	51991.3			11392.8	9248.22	8689.07
Q9P0L0	Q9P0L0	VAPA_HUMAN	VAPA	Vesicle-associated membrane protein-associated protein A	12431	21908.3	22485.9	14894.5	15408	36113.4	15270.9		12109.6	22700.5		28427.2		17757		
Q9P0M6	Q9P0M6	H2AW_HUMAN	MACROH2A2	Core histone macro-H2A.2	3060.33	19992.7	5693.06	8110.71						12073.8		9242.55		9758		
Q9P0M9	Q9P0M9	RM27_HUMAN	MRPL27	"39S ribosomal protein L27, mitochondrial"					5287.17							6402.87				
Q9P0V3	Q9P0V3	SH3B4_HUMAN	SH3BP4	SH3 domain-binding protein 4	11836.4			1753.87	20906.6			9390.93						16081.2	13426.9	8786.5
Q9P0V9	Q9P0V9	SEP10_HUMAN	SEPTIN10	Septin-10				5228.39							13527.4			11946.3		
Q9P1Y6	Q9P1Y6	PHRF1_HUMAN	PHRF1	PHD and RING finger domain-containing protein 1						12502.6								11205.8		
Q9P206	Q9P206	K1522_HUMAN	KIAA1522	Uncharacterized protein KIAA1522										17555.3						
Q9P209	Q9P209	CEP72_HUMAN	CEP72	Centrosomal protein of 72 kDa				150102	147383				150676					215787	171641	162113
Q9P253	Q9P253	VPS18_HUMAN	VPS18	Vacuolar protein sorting-associated protein 18 homolog				3441.88	17163									15858.3		
Q9P258	Q9P258	RCC2_HUMAN	RCC2	Protein RCC2	18037.5		7091.22	4945.24	16257.1	17219.8	35164	34745.2		16210.3			23580.8	21774	44244.8	21162
Q9P260	Q9P260	RELCH_HUMAN	RELCH	RAB11-binding protein RELCH											20811.7					
Q9P265	Q9P265	DIP2B_HUMAN	DIP2B	Disco-interacting protein 2 homolog B				4723.8	30180.7						7126.49		1986.89			
Q9P270	Q9P270	SLAI2_HUMAN	SLAIN2	SLAIN motif-containing protein 2				9111.55												
Q9P275	Q9P275	UBP36_HUMAN	USP36	Ubiquitin carboxyl-terminal hydrolase 36														8380.85		
Q9P287	Q9P287	BCCIP_HUMAN	BCCIP	BRCA2 and CDKN1A-interacting protein	11141.4			5894.67			18696.3									
Q9P291	Q9P291	ARMX1_HUMAN	ARMCX1	Armadillo repeat-containing X-linked protein 1			17446.8												17007.9	
Q9P2B2	Q9P2B2	FPRP_HUMAN	PTGFRN	Prostaglandin F2 receptor negative regulator												6207.63				
Q9P2B4	Q9P2B4	CT2NL_HUMAN	CTTNBP2NL	CTTNBP2 N-terminal-like protein		9407.91		4064.02		9360.32										
Q9P2D7	Q9P2D7	DYH1_HUMAN	DNAH1	Dynein axonemal heavy chain 1											10147.5					
Q9P2E3	Q9P2E3	ZNFX1_HUMAN	ZNFX1	NFX1-type zinc finger-containing protein 1					3797.08		37907.8									
Q9P2E9	Q9P2E9	RRBP1_HUMAN	RRBP1	Ribosome-binding protein 1	27180.6	58503.8	48219	39856.7	31084.7	29860.1	40174.2	30276	43847.8	46856.4	39932	59970.6	50039.1	35055.1	26359.6	27346.8
Q9P2I0	Q9P2I0	CPSF2_HUMAN	CPSF2	Cleavage and polyadenylation specificity factor subunit 2		13863	8322.29	3279.44										4985.45		
Q9P2J3	Q9P2J3	KLHL9_HUMAN	KLHL9	Kelch-like protein 9										6357.21						
Q9P2J5	Q9P2J5	SYLC_HUMAN	LARS1	"Leucine--tRNA ligase, cytoplasmic"	20570.4	9199.13	11807.6	17882.3	29705.8	19374.8	18794.1	16867.6	26314.2	10613.9	18760.4	18965.9	14820.1	13421.2	20229.5	14763.2
Q9P2K5	Q9P2K5	MYEF2_HUMAN	MYEF2	Myelin expression factor 2	6965.65	13662.2	67630.5	6331.88						3788.02		4580.92		22157.4		22504.2
Q9P2K8	Q9P2K8	E2AK4_HUMAN	EIF2AK4	eIF-2-alpha kinase GCN2	171694			7495.34			6189.54							10266.4		23003.6
Q9P2L0	Q9P2L0	WDR35_HUMAN	WDR35	WD repeat-containing protein 35														5035.03		
Q9P2P6	Q9P2P6	STAR9_HUMAN	STARD9	StAR-related lipid transfer protein 9				6639.54												
Q9P2R3	Q9P2R3	ANFY1_HUMAN	ANKFY1	Rabankyrin-5				4447.34	22532.2		21741.9							5841.1		
Q9P2R7	Q9P2R7	SUCB1_HUMAN	SUCLA2	"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial"		25666.8	16260.3	10865.6	11873.3	21429.5	8294.43			10851	19520.6	10591.4		8736.69	13118.6	10561.7
Q9P2T1	Q9P2T1	GMPR2_HUMAN	GMPR2	GMP reductase 2			7417.9	10897.6												21928.5
Q9P2X0	Q9P2X0	DPM3_HUMAN	DPM3	Dolichol-phosphate mannosyltransferase subunit 3			1791.8						13345.7							
Q9P2X3	Q9P2X3	IMPCT_HUMAN	IMPACT	Protein IMPACT				24249.4												
Q9P2Y5	Q9P2Y5	UVRAG_HUMAN	UVRAG	UV radiation resistance-associated gene protein			4361.48	16448.6	12260.6	10050.9	22322.7			20503.9				27383.1		20235.7
Q9UBB4	Q9UBB4	ATX10_HUMAN	ATXN10	Ataxin-10	20096.5			2829.37		137321	4392.06		9300.49	135573			5860.13	17350.9		
Q9UBB5	Q9UBB5	MBD2_HUMAN	MBD2	Methyl-CpG-binding domain protein 2				1533.62						6806.03						
Q9UBB6	Q9UBB6	NCDN_HUMAN	NCDN	Neurochondrin				3212.4						3581.14	157329					
Q9UBB9	Q9UBB9	TFP11_HUMAN	TFIP11	Tuftelin-interacting protein 11		1027.19		7505.33												
Q9UBC2	Q9UBC2	EP15R_HUMAN	EPS15L1	Epidermal growth factor receptor substrate 15-like 1				8945.42			12881.9	33535.8						20650.8		
Q9UBE0	Q9UBE0	SAE1_HUMAN	SAE1	SUMO-activating enzyme subunit 1	11752.4		12533.9	10540	10489	16298.2		10589.4	8222.93	36459.5				12928.6		21619.6
Q9UBF2	Q9UBF2	COPG2_HUMAN	COPG2	Coatomer subunit gamma-2	15096.3		11707.3	10625.3	13547.3	9504.34	8640.92		16878.1	23351.1	11735.7		38892.9	6645.84		9137.08
Q9UBG0	Q9UBG0	MRC2_HUMAN	MRC2	C-type mannose receptor 2									27677.6		23599	14414.4		12007.4		
Q9UBI1	Q9UBI1	COMD3_HUMAN	COMMD3	COMM domain-containing protein 3				12566.4												
Q9UBI6	Q9UBI6	GBG12_HUMAN	GNG12	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12			9854.74	7143.9	24328.3	16830.7	9393.13	23514.4	24349.5	22233.9	32456.6	14879	14942.5	17837.1	9045.16	34607.8
Q9UBL3	Q9UBL3	ASH2L_HUMAN	ASH2L	Set1/Ash2 histone methyltransferase complex subunit ASH2											78314.6					
