Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-194_4215.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-195_4216.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-196_4217.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-197_4218.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-198_4219.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-199_4228.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-200_4229.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-201_4230.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-202_4231.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-203_4232.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-26_4209.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-27_4210.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-28_4211.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-29_4212.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-30_4213.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-31_4222.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-32_4223.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-33_4224.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-34_4225.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-35_4226.d
Q969T9	Q969T9	WBP2_HUMAN	WBP2	WW domain-binding protein 2				541.294								228.14					88.7602			
Q969V3	Q969V3	NCLN_HUMAN	NCLN	Nicalin	798.94		452.052	673.598		546.316	552.666	1040.37	659.897	1497.93		604.171	303.14	932.747	259.339		799.53	990.399	720.943	853.553
Q969X5	Q969X5	ERGI1_HUMAN	ERGIC1	Endoplasmic reticulum-Golgi intermediate compartment protein 1	1555.47		986.636	1677.81		1075.19	2998.68	2953.67	802.46	1723.33		2018.18		1669.77		1671.3	1177.86	1779.14	809.389	1324.54
Q969X6	Q969X6	UTP4_HUMAN	UTP4	U3 small nucleolar RNA-associated protein 4 homolog			306.229	272.885		241.002	893.218		679.071											
Q96A26	Q96A26	F162A_HUMAN	FAM162A	Protein FAM162A				412.885				383.245				566.162			355.783		388.665	1026.36		
Q96A33	Q96A33	CCD47_HUMAN	CCDC47	PAT complex subunit CCDC47	951.402		384.909	429.953			1017.06	924.685	571.971	595.792				742.528			193.613	409.248		
Q96A35	Q96A35	RM24_HUMAN	MRPL24	39S ribosomal protein L24, mitochondrial	212.746		338.812											708.964	187.892		849.763	266.086	199.747	
Q96AC1	Q96AC1	FERM2_HUMAN	FERMT2	Fermitin family homolog 2	190.815		178.796	968.975		318.947			510.954			519.636	149.076				283.105	339.697		348.251
Q96AE4	Q96AE4	FUBP1_HUMAN	FUBP1	Far upstream element-binding protein 1	820.474		990.006	989.815		1459.04	826.554	757.451	1411.79	691.483		1364.8	740.313	1024.13	1454.2	876.548	1096.45	239.357	942.873	1188.38
Q96AG4	Q96AG4	LRC59_HUMAN	LRRC59	Leucine-rich repeat-containing protein 59	3363.24		1622.07	1628.4	389.893	2747.19	2773.1	2481.98	1684.43	1961.7		1832.25	3269.95	4433.18	1523.54		2085.9	2550.2	2106.1	1927.23
Q96AQ6	Q96AQ6	PBIP1_HUMAN	PBXIP1	Pre-B-cell leukemia transcription factor-interacting protein 1												1187.52	280.461	521.82			277.354	254.543	379.814	
Q96AY3	Q96AY3	FKB10_HUMAN	FKBP10	Peptidyl-prolyl cis-trans isomerase FKBP10	1284.47		627.04	582.991	544.015	1239.9	323.374	900.446	1041.59	1165.72		617.675	1479.34	2518.31	939.022	725.877	1350.91	2001	847.257	1542.7
Q96C01	Q96C01	F136A_HUMAN	FAM136A	Protein FAM136A	167.366		271.29			290.764											228.766	204.567		
Q96C19	Q96C19	EFHD2_HUMAN	EFHD2	EF-hand domain-containing protein D2			567.336			222.365			435.988			307.931					290.287		222.08	200.56
Q96C36	Q96C36	P5CR2_HUMAN	PYCR2	Pyrroline-5-carboxylate reductase 2	344.776						350.03			292.351				430.708			531.122			
Q96C86	Q96C86	DCPS_HUMAN	DCPS	m7GpppX diphosphatase			229.46	217.636		327.948											102.836			140.71
Q96CN7	Q96CN7	ISOC1_HUMAN	ISOC1	Isochorismatase domain-containing protein 1			93.2394	662.749								149.295							117.086	
Q96CS3	Q96CS3	FAF2_HUMAN	FAF2	FAS-associated factor 2	814.9		363.604	629.72						592.573			954.924	279.898	630.475		429.995	622.284	381.44	
Q96CT7	Q96CT7	CC124_HUMAN	CCDC124	Coiled-coil domain-containing protein 124			466.316	402.666		181.51	294.899		379.827			146.739		228.505	542.973	289.386	291.638		447.855	
Q96CW1	Q96CW1	AP2M1_HUMAN	AP2M1	AP-2 complex subunit mu	396.742		950.688	1286.76		970.298	477.483	1349.84	1300.06	1101.4		910.875	1426.48	1414.86	1429.03		1590.59	1992.39	928.813	1169.84
Q96CX2	Q96CX2	KCD12_HUMAN	KCTD12	BTB/POZ domain-containing protein KCTD12			756.543	887.42	118.413	693.131	120.556		945.801			756.519			400.583	1128.8	702.877	123.909	483.785	471.133
Q96D15	Q96D15	RCN3_HUMAN	RCN3	Reticulocalbin-3	818.381		349.467			607.676	562.237	958.05	465.43			633.019	1616.11	3635.03			733.074		653.322	1106.88
Q96DB5	Q96DB5	RMD1_HUMAN	RMDN1	Regulator of microtubule dynamics protein 1			177.506					857.24	473.81					198.269			491.743	336.851		
Q96DH6	Q96DH6	MSI2H_HUMAN	MSI2	RNA-binding protein Musashi homolog 2				101.527					164.922								405.38		159.194	284.313
Q96DV4	Q96DV4	RM38_HUMAN	MRPL38	39S ribosomal protein L38, mitochondrial			223.256				524.646							296.555			499.664	182.864		359.529
Q96EL3	Q96EL3	RM53_HUMAN	MRPL53	39S ribosomal protein L53, mitochondrial	539.017		254.92					442.922	519.186					387.04			328.718	216.971		
Q96EP5	Q96EP5	DAZP1_HUMAN	DAZAP1	DAZ-associated protein 1			265.189	175.504		587.291			875.813			413.803					295.62		530.647	
Q96EY7	Q96EY7	PTCD3_HUMAN	PTCD3	Pentatricopeptide repeat domain-containing protein 3, mitochondrial	475.52					252.803	704.352	458.956	99.8187	506.103				218.074	556.299		476.29	375.533		736.388
Q96F24	Q96F24	NRBF2_HUMAN	NRBF2	Nuclear receptor-binding factor 2			325.705	196.755																
Q96F85	Q96F85	CNRP1_HUMAN	CNRIP1	CB1 cannabinoid receptor-interacting protein 1			243.043	392.427													276.354			
Q96FQ6	Q96FQ6	S10AG_HUMAN	S100A16	Protein S100-A16			532.749	380.697	176.067	669.534			469.464	651.023		492.061			440.94	476.521	493.465		970.083	1049.51
Q96FS4	Q96FS4	SIPA1_HUMAN	SIPA1	Signal-induced proliferation-associated protein 1			797.624						627.842			811.92	612.147	867.998			1811.86			1009.76
Q96FW1	Q96FW1	OTUB1_HUMAN	OTUB1	Ubiquitin thioesterase OTUB1			259.877	449.841		319.752			309.966			565.788			573.576		258.729		168.768	632.259
Q96G03	Q96G03	PGM2_HUMAN	PGM2	Phosphoglucomutase-2	689.228			318.484		517.97			358.469			354.969	457.955			422.865		162.731		748.86
Q96G23	Q96G23	CERS2_HUMAN	CERS2	Ceramide synthase 2	609.958		222.306	181.966		694.725		515.486	235.44	706.462			334.578	536.338			791.596	645.291	565.381	601.398
Q96GC5	Q96GC5	RM48_HUMAN	MRPL48	39S ribosomal protein L48, mitochondrial	258.109		211.777	118.985			146.338		261.985	343.06							260.857	166.637	346.884	190.379
Q96GK7	Q96GK7	FAH2A_HUMAN	FAHD2A	Fumarylacetoacetate hydrolase domain-containing protein 2A			273.137	663.905										494.885			678.408	191.152		
Q96GQ7	Q96GQ7	DDX27_HUMAN	DDX27	Probable ATP-dependent RNA helicase DDX27	576.008		366.868					884.777		598.742				423.972			185.281	292.231	292.163	
Q96HC4	Q96HC4	PDLI5_HUMAN	PDLIM5	PDZ and LIM domain protein 5			162.519	579.178		316.928			343.853								428.037		516.012	348.721
Q96HE7	Q96HE7;Q86YB8	ERO1A_HUMAN	ERO1A	ERO1-like protein alpha	376.719		362.466	452.51	474.019	349.208	483.99		632.01	661.027		306.973	988.54	768.169	519.008		319.187	556.366	447.545	582.599
Q96HS1	Q96HS1	PGAM5_HUMAN	PGAM5	Serine/threonine-protein phosphatase PGAM5, mitochondrial	635.678		243.995			335.618			484.641	272.693		601.675	803.8	161.072			172.975	546.174	348.604	490.562
Q96HY6	Q96HY6	DDRGK_HUMAN	DDRGK1	DDRGK domain-containing protein 1			155.436										424.643					902.257		
Q96I24	Q96I24	FUBP3_HUMAN	FUBP3	Far upstream element-binding protein 3	402.764		386.774			224.431			583.498			815.901		762.901			487.912	572.396	327.109	319.329
Q96I25	Q96I25	SPF45_HUMAN	RBM17	Splicing factor 45	618.081		222.553	367.914			441.366			603.048			852.362	723.119			558.737	267.411	175.023	
Q96I99	Q96I99	SUCB2_HUMAN	SUCLG2	Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial	503.371		264.469	275.804		136.508	996.865		440.596	503.388			927.868	638.859	211.795		522.853	585.82	445.824	795.753
Q96IJ6	Q96IJ6	GMPPA_HUMAN	GMPPA	Mannose-1-phosphate guanyltransferase alpha			384.371	378.183					233.099			259.651		311.018			236.619			
Q96IX5	Q96IX5	ATPMK_HUMAN	ATP5MK	ATP synthase membrane subunit K, mitochondrial	389.87		297.013	92.098			502.113	286.711	219.96	310.161		464.801		290.652	709.55		371.149	611.757	436.684	204.106
Q96J01	Q96J01	THOC3_HUMAN	THOC3	THO complex subunit 3										2562.95										
Q96JB5	Q96JB5	CK5P3_HUMAN	CDK5RAP3	CDK5 regulatory subunit-associated protein 3	586.353		62.4923	157.535		330.563			200.841	678.652							261.63	116.515	139.201	
Q96JD6	Q96JD6	AKCL2_HUMAN	AKR1E2	1,5-anhydro-D-fructose reductase			552.221	1029		572.054			541.062			420.103					364.492		540.899	
Q96JJ7	Q96JJ7	TMX3_HUMAN	TMX3	Protein disulfide-isomerase TMX3	437.774		186.495	562.087					435.647				728.431	573.571			330.011	332.552	128.228	
Q96KB5	Q96KB5	TOPK_HUMAN	PBK	Lymphokine-activated killer T-cell-originated protein kinase				137.034		315.164														
Q96KG9	Q96KG9	SCYL1_HUMAN	SCYL1	N-terminal kinase-like protein			589.872	344.934								655.599			151.162		221.897			
Q96KP4	Q96KP4	CNDP2_HUMAN	CNDP2	Cytosolic non-specific dipeptidase			638.581	355.707	1255.99	481.03	542.016	287.266	785.89			565.572	503.855		643.186		489.807		640.211	1111.33
Q96L92	Q96L92	SNX27_HUMAN	SNX27	Sorting nexin-27						212.387			133.593						337.364					
Q96M27	Q96M27	PRRC1_HUMAN	PRRC1	Protein PRRC1			232.523	211.59		293.406											153.716			
Q96N66	Q96N66	MBOA7_HUMAN	MBOAT7	Lysophospholipid acyltransferase 7				393.686		318.466			397.603					492.469			183.466	580.928	449.334	
Q96N67	Q96N67	DOCK7_HUMAN	DOCK7	Dedicator of cytokinesis protein 7				5337.47		508.377			397.264					447.955			554.344		314.304	
Q96P63	Q96P63	SPB12_HUMAN	SERPINB12	Serpin B12	1042.16	2789.01	822.464	1359.94	3548.3	1075.56	3316.35	1388.3	2329.4	2399.16		2276.95	2862.81	1276.26	1982.59	2702.26	1554.62	1757.38	2306.81	1958.22
Q96P70	Q96P70	IPO9_HUMAN	IPO9	Importin-9			304.209	585.195		282.524			315.755			798.538								
Q96PK6	Q96PK6	RBM14_HUMAN	RBM14	RNA-binding protein 14	700.87		510.476	658.424		363.677		736.889	732.09	781.218		539.103	576.041	1399.37	931.129		726.016	687.12	547.91	657.335
Q96PU8	Q96PU8	QKI_HUMAN	QKI	Protein quaking			208.394	97.0563		231.67		202.455	354.861				516.066	430.86			267.849		338.343	564.487
Q96PZ0	Q96PZ0	PUS7_HUMAN	PUS7	Pseudouridylate synthase 7 homolog			268.476																287.138	
Q96QA5	Q96QA5	GSDMA_HUMAN	GSDMA	Gasdermin-A	779.472	1485.93	293.732		1061.76	819.39	836.55	1224.4	712.258	525.979		1093.97	1311.87	1089.48	824.975	465.162	454.08		736.547	940.239
Q96QK1	Q96QK1	VPS35_HUMAN	VPS35	Vacuolar protein sorting-associated protein 35	506.347		1405.27	1227.35	735.187	1101.4	353.271	286.538	1458.61			2602.63		456.438	771.156	911.969	1165.33	359.918	1569.87	1469.15
Q96QR8	Q96QR8	PURB_HUMAN	PURB	Transcriptional activator protein Pur-beta			442.465	184.422		123.023	397.686	508.555	418.966							500.349				
Q96RP9	Q96RP9	EFGM_HUMAN	GFM1	Elongation factor G, mitochondrial	469.21						361.495			439.114							151.563			230.638
Q96SB4	Q96SB4	SRPK1_HUMAN	SRPK1	SRSF protein kinase 1			443.654	454.792															121.602	
Q96TA1	Q96TA1	NIBA2_HUMAN	NIBAN2	Protein Niban 2	380.635	276.034	1347.97	1154.51	711.743	1353.01	731.235		2309.23	564.437		1043.49	507.511	631.862	1448.13	2037.45	1786.12	786.154	2263.93	1646.42
Q96TA2	Q96TA2	YMEL1_HUMAN	YME1L1	ATP-dependent zinc metalloprotease YME1L1																	899.912	1242.94		
Q99426	Q99426	TBCB_HUMAN	TBCB	Tubulin-folding cofactor B			598.05	502.422		321.73	679.321		584.49						900.589	142.384	551.445		610.145	781.046
Q99436	Q99436	PSB7_HUMAN	PSMB7	Proteasome subunit beta type-7	1173.67	115.217	794.312	670.227		580.577	549.971	757.035	603.889	51.8713		893.471	581.264	688.37	759.488	573.982	417.682		864.066	752.053
Q99439	Q99439	CNN2_HUMAN	CNN2	Calponin-2			2314.74	1585.66		1255.38			2002.06			1418.77	389.893		902.253	672.693	2174.33		2111.53	1345.37
Q99459	Q99459	CDC5L_HUMAN	CDC5L	Cell division cycle 5-like protein	602.606		429.43	421.181		462.692	555.408	1032.57		711.837		362.254	711.073	658.088	412.988		594.111	390.152	394.891	303.244
Q99460	Q99460	PSMD1_HUMAN	PSMD1	26S proteasome non-ATPase regulatory subunit 1	327.782	576.684	1362.53	1400	686.115	1515.44	590.653	755.94	1189.01	657.324		1461.01	739.443	967.227	1149.73	493.588	892.367	519.784	592.478	1295.63
Q99470	Q99470	SDF2_HUMAN	SDF2	Stromal cell-derived factor 2									375.062				400.204	448.923				247.524		495.298
Q99471	Q99471	PFD5_HUMAN	PFDN5	Prefoldin subunit 5			144.914			263.185						544.027		233.706	365.243		153.8		575.094	
Q99497	Q99497	PARK7_HUMAN	PARK7	Parkinson disease protein 7	1333.87	963.473	4163.71	8592.38	1228.62	3621.44	1035.6	1440.77	4780.6	1635.98		4627.79	1921.42	1046.76	3364.37	2870.85	2739.34	1255.98	3838.14	5596.34
Q99523	Q99523	SORT_HUMAN	SORT1	Sortilin																	362.25	491.566		
Q99536	Q99536	VAT1_HUMAN	VAT1	Synaptic vesicle membrane protein VAT-1 homolog	1651.3		4673.48	5029.46	417.022	3092.85	3718.73	939.067	5888.02	1491.87		3644.04	1849.9	1276.94	5692.25	2503.51	5428.48	1260.2	4701.59	4509.78
Q99575	Q99575	POP1_HUMAN	POP1	Ribonucleases P/MRP protein subunit POP1	184.799					253.707			308.198					282.164					183.693	
Q99584	Q99584	S10AD_HUMAN	S100A13	Protein S100-A13			317.455	660.644		567.357			855.169	102.773		522.857			768.778		805.813		1230.03	758.98
Q99614	Q99614	TTC1_HUMAN	TTC1	Tetratricopeptide repeat protein 1			254.569	380.443		266.257													275.763	
Q99623	Q99623	PHB2_HUMAN	PHB2	Prohibitin-2	3979.59		1983.78	2322.17		2007.81	2408.09	2091.76	1869.1	2711.87		1167.97	1498.12	2728.91	999.288		2874.54	3389.68	1584.58	2107.58
Q99700	Q99700	ATX2_HUMAN	ATXN2	Ataxin-2																	214.644			
Q99714	Q99714	HCD2_HUMAN	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2	1095.41		691.713	647.602		671.777	499.545	593.977	321.797	513.127		423.307		1206.91			1175.12	1421.37	283.283	732.359
Q99729	Q99729	ROAA_HUMAN	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B	974.57		829.422	449.941		866.892	1756.89	1969.92	992.782	992.302		569.747	1243.72	962.818	1018.95		1202.31	431.194	1122.17	1128.46
Q99733	Q99733	NP1L4_HUMAN	NAP1L4	Nucleosome assembly protein 1-like 4			1262.98	581.828		954.514	252.512		1020.75	825.722		931.608	679.25		1433.91	710.84	697.57		1160.25	890.577
Q99798	Q99798	ACON_HUMAN	ACO2	Aconitate hydratase, mitochondrial	1344.32		675.011	2026.99		552.567	1203.58	672.324	770.124	885.418		870.291	1283.02	1305.44	623.173		1269.01	1728.31	427.691	696.662
Q99816	Q99816	TS101_HUMAN	TSG101	Tumor susceptibility gene 101 protein			119.495						420.668						138.397	496.788	263.93			456.823
Q99829	Q99829	CPNE1_HUMAN	CPNE1	Copine-1			224.946	378.111		484.701			310.393			349.244			406.765		162.057		254.16	237.831
Q99832	Q99832	TCPH_HUMAN	CCT7	T-complex protein 1 subunit eta	516.544		1622.2	1546	331.371	1280.84	620.388		1486.77	180.062		1178.55	348.277	848.553	1019.63	1062.09	1173.56		1508.25	1103.06
Q99848	Q99848	EBP2_HUMAN	EBNA1BP2	Probable rRNA-processing protein EBP2	217.821		379.555			216.957								660.999	246.204		108.01		270.491	
Q99873	Q99873;Q9NR22	ANM1_HUMAN	PRMT1	Protein arginine N-methyltransferase 1	286.746		762.208	681.455		1029.59	374.888	397.997	1004.42	344.142		588.651	172.13	964.065	1159.36	511.269	780.701	301.286	968.893	1226.84
Q99943	Q99943	PLCA_HUMAN	AGPAT1	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha				5462.7													419.369	422.102		
Q99961	Q99961;Q99962	SH3G1_HUMAN	SH3GL1	Endophilin-A2			990.308	814.661		1487.35			1095.99			1110.39	524.753		1042.98	856.972	716.624		1684.34	830.698
Q9BPW8	Q9BPW8	NIPS1_HUMAN	NIPSNAP1	Protein NipSnap homolog 1	367.067		513.295	288.306		451.586	261.874	999.41	515.405	333.724			359.533	952.436	214.035		877.56	1159.06	1142	720.494
Q9BPX5	Q9BPX5	ARP5L_HUMAN	ARPC5L	Actin-related protein 2/3 complex subunit 5-like protein			311.342			339.919			132.569			336.662			465.079		287.064			594.108
Q9BQ39	Q9BQ39	DDX50_HUMAN	DDX50	ATP-dependent RNA helicase DDX50	539.854		173.961	302.483				616.538		396.501							373.301		290.112	262.214
Q9BQ50	Q9BQ50	TREX2_HUMAN	TREX2	Three prime repair exonuclease 2		861.125	190.953			227.077	382.912	352.161		352.895					378.122	439.067	178.481			82.6308
Q9BQ61	Q9BQ61	TRIR_HUMAN	TRIR	Telomerase RNA component interacting RNase			816.701			949.909											953.066			1725.81
Q9BQA1	Q9BQA1	MEP50_HUMAN	WDR77	Methylosome protein 50			397.372			419.449							442.554				316.615		323.632	
Q9BQE5	Q9BQE5	APOL2_HUMAN	APOL2	Apolipoprotein L2			647.797	617.643		367.648	497.969	191.819	263.372	507.586							268.329			
Q9BQG0	Q9BQG0	MBB1A_HUMAN	MYBBP1A	Myb-binding protein 1A			500.526			318.856		860.667		444.257			706.791		884.237		399.964	316.088	488.171	
Q9BQS8	Q9BQS8	FYCO1_HUMAN	FYCO1	FYVE and coiled-coil domain-containing protein 1														481.705					297.881	
Q9BR76	Q9BR76	COR1B_HUMAN	CORO1B	Coronin-1B			429.39	449.602		577.016	559.686		912.877			597.977			560.454	763.167	1005.1	356.177	720.983	524.703
Q9BRA2	Q9BRA2	TXD17_HUMAN	TXNDC17	Thioredoxin domain-containing protein 17	552.012	221.959	962.834	1194.12		1425.47	355.505	402.791	1290.73			1671.13	534.782	287.938	1009.06	1677.75	1154.01	231.569	1269.68	1500.85
Q9BRG1	Q9BRG1	VPS25_HUMAN	VPS25	Vacuolar protein-sorting-associated protein 25			253.004	245.409		559.218			469.522								307.515			300.126
Q9BRJ2	Q9BRJ2	RM45_HUMAN	MRPL45	39S ribosomal protein L45, mitochondrial						276.505											258.05	194.321		
Q9BRK5	Q9BRK5	CAB45_HUMAN	SDF4	45 kDa calcium-binding protein													535.635		370.454			360.08		
Q9BRP8	Q9BRP8	PYM1_HUMAN	PYM1	Partner of Y14 and mago				164.1		234.753											320.382		291.215	
Q9BS26	Q9BS26	ERP44_HUMAN	ERP44	Endoplasmic reticulum resident protein 44	1117.32		448.427	548.171		587.55	556.353	554.188	1045.96	618.993		375.54	696.658	710.197	1070.32		906.044	886.993		835.999
Q9BS40	Q9BS40	LXN_HUMAN	LXN	Latexin	118.599		340.099			398.136			275.242				256.113		256.527	373.455	142.695		313.196	693.552
Q9BSJ8	Q9BSJ8	ESYT1_HUMAN	ESYT1	Extended synaptotagmin-1	803.496		821.734	1217.02		463.221	717.703	1006.18	1079.83	1262.55		651.927	866.549	1452.37	757.518		1193.78	1604.25	1093.08	1237.05
Q9BT78	Q9BT78	CSN4_HUMAN	COPS4	COP9 signalosome complex subunit 4	148.989		505.958	625.241		500.499			632.746	481.839		400.384	507.436	633.837	640.952	430.538	376.691		522.424	943.921
Q9BTT0	Q9BTT0	AN32E_HUMAN	ANP32E	Acidic leucine-rich nuclear phosphoprotein 32 family member E				371.584		377.403			603.933						1129.33		252.577			556.952
Q9BTU6	Q9BTU6	P4K2A_HUMAN	PI4K2A	Phosphatidylinositol 4-kinase type 2-alpha			266.437						68.6031					224.328			240.764	230.285	436.991	
Q9BTV4	Q9BTV4	TMM43_HUMAN	TMEM43	Transmembrane protein 43	401.863		106.631	542.025				373.274	395.168	383.138				78.9362	505.393	436.509	451.556	479.156		368.421
Q9BTW9	Q9BTW9	TBCD_HUMAN	TBCD	Tubulin-specific chaperone D																	115.202		289.092	
Q9BTY2	Q9BTY2	FUCO2_HUMAN	FUCA2	Plasma alpha-L-fucosidase																	107.669	314.24		
Q9BTZ2	P0CG22;Q9BTZ2	DHRS4_HUMAN	DHRS4	Dehydrogenase/reductase SDR family member 4	1007.82		409.829	527.063		658.018			550.142			431.376		472.532			654.181	359.899	525.858	564.888
Q9BU23	Q9BU23	LMF2_HUMAN	LMF2	Lipase maturation factor 2			148.214	383.964					303.355			448.441					375.556	566.889	511.692	
Q9BUB7	Q9BUB7	TMM70_HUMAN	TMEM70	Transmembrane protein 70, mitochondrial	391.12			253.358		518.19	188.831										213.006	806.998		
Q9BUF5	Q13509;Q9BUF5	TBB6_HUMAN	TUBB6	Tubulin beta-6 chain	1268.32	1087.08	7466.32	7433.7	2424.9	8109.3	3196.06	1684.76	8757.11	1916.91		9137.46	1586.49	944.002	6368.87	6825.65	6473.97	1041.83	8966.03	7101.18
Q9BUJ2	Q9BUJ2	HNRL1_HUMAN	HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U-like protein 1	382.093		236.678	423.837		532.913		292.903	144.852	488.323		206.651		413.797	547.727		446.703		575.367	400.542
Q9BUL8	Q9BUL8	PDC10_HUMAN	PDCD10	Programmed cell death protein 10			642.111	259.965					601.708			416.423			561.581		240.186		546.794	418.852
Q9BUN8	Q9BUN8	DERL1_HUMAN	DERL1	Derlin-1			121.625	421.401			234.724		231.844			261.848			353.054		405.541	122.237	249.08	
Q9BUQ8	Q9BUQ8	DDX23_HUMAN	DDX23	Probable ATP-dependent RNA helicase DDX23	808.196		520.157	454.757		527.021	533.814	716.961	522.469	394.044		141.169	662.435	998.865	366.051		551.48	351.04	332.926	587.178
Q9BUR5	Q9BUR5	MIC26_HUMAN	APOO	MICOS complex subunit MIC26	419.412									99.3012				441.389	131.606		304.829	228.443		
Q9BUT1	Q9BUT1	BDH2_HUMAN	BDH2	3-hydroxybutyrate dehydrogenase type 2		565.218	554.753						632.577								609.616		431.125	
Q9BV38	Q9BV38	WDR18_HUMAN	WDR18	WD repeat-containing protein 18	510.558		411.769				556.014	785.885		693.059		309.773		342.197			185.65	395.676		
Q9BV57	Q9BV57	MTND_HUMAN	ADI1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase				230.059		139.203														
Q9BVA1	Q9BVA1	TBB2B_HUMAN	TUBB2B	Tubulin beta-2B chain			623.552			1084.77	722.45		642.991						739.672		851.778			922.723
Q9BVC6	Q9BVC6	TM109_HUMAN	TMEM109	Transmembrane protein 109	1837.37		548.454	479.863		385.745		349.791	219.962	285.891				361.285		991.92	383.74	325.986	250.648	
Q9BVG4	Q9BVG4	PBDC1_HUMAN	PBDC1	Protein PBDC1			214.405	216.813		284.013			313.23						269.106		153.016			205.231
Q9BVJ7	Q9BVJ7	DUS23_HUMAN	DUSP23	Dual specificity protein phosphatase 23			349.78	524.119															156.048	
Q9BVK6	Q9BVK6	TMED9_HUMAN	TMED9	Transmembrane emp24 domain-containing protein 9	1754.92		1393.85	1669.19		1395.55	1234.38	1141.61	1759.57	1025.6		577.659	1226.32	1548.7	1937.56		1765.91	2075.29	1024.91	1497.94
Q9BVL2	Q9BVL2	NUP58_HUMAN	NUP58	Nucleoporin p58/p45			139.096	92.9367													213.48		171.885	
Q9BVP2	Q9BVP2	GNL3_HUMAN	GNL3	Guanine nucleotide-binding protein-like 3	1090.76			278.737		425.812	331.774	291.252		671.7		399.176	252.989		503.991		305.956		406.84	490.688
Q9BW27	Q9BW27	NUP85_HUMAN	NUP85	Nuclear pore complex protein Nup85	869.3			215.457		313.974						347.566					228.729	187.709		
Q9BW60	Q9BW60	ELOV1_HUMAN	ELOVL1	Elongation of very long chain fatty acids protein 1	451.588		159.521	564.749			144.429			441.667			789.353	415.798	478.402		264.468	740.008	287.111	386.668
Q9BWD1	Q9BWD1	THIC_HUMAN	ACAT2	Acetyl-CoA acetyltransferase, cytosolic			368.843	178.359		338.428			227.139							822.896	201.564		436.724	698.735
