Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-111_4034.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-112_4035.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-113_4037.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-114_4038.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-115_4040.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-116_4041.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-117_4043.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-118_4044.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-123_4046.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-124_4047.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-125_4049.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-126_4050.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-128_4052.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-129_4053.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-130_4055.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-131_4056.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-99_3909.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-100_3911.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-101_3913.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-102_3915.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-103_3917.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-104_3919.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-198_3921.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-199_3923.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-200_3925.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-201_3927.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-202_3929.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-203_3931.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-204_3935.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-205_3937.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-206_3939.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-207_3941.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-208_3943.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-209_3945.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-26_3890.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-27_3891.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-28_3892.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-29_3894.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-30_3895.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-31_3896.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-32_3898.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-33_3899.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-34_3900.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-35_3902.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-36_3903.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-37_3905.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-16_3870.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase		632.769						1936.14								3990.1			2308.44				17068.5				1415.5		17903.4								3173.18						3260.19		12721.6	4294.69	29218.6	1062.41	769.046	1194.11	809.684	1080.68
A6NDR6;Q99687	Q99687;A8K0S8;A6NDR6	ME3L1_HUMAN;MEIS3_HUMAN	MEIS3;MEIS3P1	Putative homeobox protein Meis3-like 1																																																1090.75	824.193	966.343	648.782	1215.88
A6NDU8	A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1																																																79.2517		119.037		164.653
A6NEL2	A6NEL2	SWAHB_HUMAN	SOWAHB	Ankyrin repeat domain-containing protein SOWAHB																						1877.77				1771.04						1543.01						2998.7	2581.51									1897.74	1474.05	1721.93	1808.26	1747.43
A6NFI3	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316																																																148.253	137.211	60.5987	76.5361	137.449
A6NFQ2	A6NFQ2	TCAF2_HUMAN	TCAF2	TRPM8 channel-associated factor 2																																																297.363	250.613	600.311	696.441	777.813
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1				1515.12	3052.96							3472.22				1980.83				2029.77			2974.94		2781.26	4085.36	1901.73		2039.13						3831.48			525.787	4294.92		2088.15			2384.1				1019.02	1392.22	1147.23	1214.45	1356.89
A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2																																																836.52	723.567	706.113	546.217	719.22
A6NI28	A6NI28	RHG42_HUMAN	ARHGAP42	Rho GTPase-activating protein 42																																																94.6077	500.592	252.647	121.465	206.011
A6NI56	A6NI56	CC154_HUMAN	CCDC154	Coiled-coil domain-containing protein 154	12584.7			5720.92	2989.43		2271.34			9440.46	9200.05	9556.78	4794.03			7575.06			4194.83			6989.14	6529.29	12688.6	8703.54	19610.5	10893.9	5864.27	6055.91	6417.81		6878.01		14077.5		7572.31		6270.99	6685.4	7035.89	9118.3	10217.5	6884.16	9261.03	4707.9	8688.32	6516.92	14754	12074.1	14449	17885.6	10268.6
A6NIH7	A6NIH7;Q13432	U119B_HUMAN	UNC119B	Protein unc-119 homolog B							5427.75	1584.65		2223.13												763.763																	1878.01						2673.52	2231.74	5810.24	3951.4	3662.48	4028.17	3515.95	3693.51
A6NJ78	A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase												602.888															900.204												14226.3									389.028	629.467	824.14	831.91	915.567
A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C																																																1073.49	1197.03	1342.47	1106.62	1167.13
A6QL63	A6QL63	BTBDB_HUMAN	BTBD11	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11																																																797.633	1002.44	579.614	541.619	612.241
A6ZKI3	Q9BWD3;Q17RB0;A6ZKI3	RTL8C_HUMAN	RTL8C	Retrotransposon Gag-like protein 8C	1676.05			1544.85						1312.24																2991.64																					1754.71	5798.74	5944.55	8698.86	6528.26	8434.62
A7E2V4	A7E2V4	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8																																																535.677	740.577	580.453	503.885	550.071
A7KAX9	A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32																																																314.183	387.056	261.974	235.509	313.736
A7MBM2	A7MBM2	DISP2_HUMAN	DISP2	Protein dispatched homolog 2																																																768.798	943.369	288.332	233.228	231.737
A8CG34	Q6PJE2;A8CG34;Q96HA1	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C				2069.38							2735.77		2764.56																																			393.417	677.69	447.26	450.444	581.705
A8K2U0	A8K2U0	A2ML1_HUMAN	A2ML1	Alpha-2-macroglobulin-like protein 1	2366.76		5320.83		2711.73	4251.49	6207.14	3980.06	3441.21	7947.33		3787.48	7641.06	8329.37	5379.1	4772.22			2521.53	5695.62	3041.38	7635.28	7199.36	3444.41	2301.21		5978.53	2807.91	5392.38	4399.12	6838.97	2485.03		4534.94	2435.72	2302.13	4959.25	10031.6	2271.39	4070.93		5955.14	5919.52	6642.2	3769.59	5658.71				86.1154	220.376	
A8MV81;Q9Y241	Q9Y241;A8MV81	HIG1A_HUMAN;HIG1C_HUMAN	HIGD1A;HIGD1C	HIG1 domain family member 1C																																																810.891	732.089	2768.87	1685.47	3239.38
A8MVW0	A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2																																																352.27	496.256	336.682	379.658	326.863
A8MW92	A8MW92	P20L1_HUMAN	PHF20L1	PHD finger protein 20-like protein 1		2497.71					600.879																																									303.676	257.953		428.082	
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15							14333.8												3340.67				23856.4				9398.43					15326.6			59435.6													9878.28	8663.42	9747.57	8611.26	9375.97
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19				1828.15							3455.32														2785.52	826.903				2298.84					3856.93	3557.44					2199.9					3079.22		1203.07	2335.84	2130.32	2307.59	2382.54
A9UHW6	A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein																																																183.033	345.565	272.646	247.85	288.818
B0YJ81	B0YJ81	HACD1_HUMAN	HACD1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1																																																254.124	492.682	660.074	551.789	576.331
B1ANS9	B1ANS9	WDR64_HUMAN	WDR64	WD repeat-containing protein 64			5283.68							12553.4								8271.88	19112																			11589.1										3731.81				
B2RTY4	B2RTY4	MYO9A_HUMAN	MYO9A	Unconventional myosin-IXa																																																733.751	680.059	994.95	724.359	921.861
B3KU38;P0DPB3	P0DPB3;B3KU38	IQIP1_HUMAN;SCHI1_HUMAN	IQCJ-SCHIP1;SCHIP1	IQCJ-SCHIP1 readthrough transcript protein																																																914.517	352.45	1409.26	1039.46	1625
B7ZAQ6;P0CG08	P0CG08;B7ZAQ6	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A																							1323.8																									268.732	748.027	555.933	688.984	697.921
B7ZW38;O60812;P0DMR1	P0DMR1;O60812;B7ZW38	HNRC1_HUMAN;HNRC3_HUMAN;HNRC4_HUMAN	HNRNPCL1;HNRNPCL3;HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 3											3337.58	1332.82							1559.26			2949.38	3702.09	1433.9	2448.39	5629.58	5821.47		1545.25	1969.34		4290.03												1617.52	2797.63		3614.71	137.107	343.671			
C4AMC7;Q6VEQ5	A8K0Z3;Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P;WASH3P	Putative WAS protein family homolog 3				2145.09			1313.49			1992.07			2115.03																5893.98			3644.32											5646.91		3521.32	2945.37	2908.16	2799.55	4419.3	3525.47	2945.2	3251.71
C9JLW8	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1				2889.07						2805.06		1488.45						1199.05											1808.88	4347.43		1025.34						2132.49		1091.78			883.116	3298.76	2907.53		3731.96	2460.11	1795.69	2453.96	1476.3	2319.04
CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN	CONT|A0A0A0MPA0|A0A0A0MPA0_BOVIN	SERPIN	SERPIN		528.396											564.716			6644.54	1331.33		3089.27		2937.6					2858.59	3464.17		3400.84		1611.3			4858.21		2141.53		1427.31	721.825		3148.45								716.566	351.548	1243.69	676.458	1443.8
CONT|A2I7N1|SPA35_BOVIN;CONT|Q9TTE1|SPA31_BOVIN	CONT|A2I7N0|SPA34_BOVIN;CONT|A2I7N1|SPA35_BOVIN;CONT|Q9TTE1|SPA31_BOVIN	Serpin	Serpin		7897.07	8873.27	15564	4782.49	6655.17	30850.7	3982.32	9333.43	8779.52	3826.34	5547.35	4082.26	12029.7	12033.7	18285.4	6781.13	9608.07	7504.22	6688.91	18138.6	8005.03	9927.97	5520.41	8340.21	9829.07	8391.83	8910.41	6450.47	12515.7	8980.41	9371.28	7276.92	13600.4	7792.03	10325.2	12482	4299.82		4468.17	8619.78	3869.19	10775.8	4499.87	7349.08	10458.7	4955.44		1078.96	828.887	1164.64	1721.16	1359.19
CONT|F6R4P6|F6R4P6_BOVIN	CONT|F6R4P6|F6R4P6_BOVIN	Serpin	Serpin							4586.53																			5933.53	8681.82																			3193.73			2044.66	1864.74	1617.82	1790.37	1520.84
CONT|P00735|THRB_BOVIN	CONT|P00735|THRB_BOVIN	Prothrombin	Prothrombin																																																	2804.16	2585.36	3185.28	3555.97	2956.16
CONT|P00760|TRY1_BOVIN	CONT|P00760|TRY1_BOVIN	Cationic	Cationic		18268.1	29635.3	49855.8	15777.9	35197.5	22635	15346.4	32545.4	30542.9	22480.6	19891.1	16584	24783.6	27397.4	40159.1	12791.2	45198	23950.2	32657	44713.7	36199.8	22595.6	38960.4	26682.9	33877.2	30375.9	20781	41577.5	24928.9	29908.4	40251.8	33732.6	52110.8	53745.9	65134.6	64503	37654.1	45806.1	35111.7	47433.2	23609.4	36877	37255.2	37831.5	23739.2	34291.6	660204	216987	154125	250363	257112	216661
CONT|P00761|TRYP_PIG	CONT|P00761|TRYP_PIG	Trypsin	Trypsin		1.69695e+07	1.88577e+07	3.42613e+07	2.11216e+07	2.27508e+07	3.84305e+07	3.02534e+06	3.68204e+06	2.64194e+07	2.02967e+07	4.40399e+07	2.15543e+07		3.04362e+07	3.01397e+07	4.46437e+07	8.47674e+06	2.39099e+07		2.86637e+07	2.94654e+07		3.32057e+07			2.95741e+07	3.54595e+06	2.14968e+07		2.45125e+07	3.49931e+07	2.23914e+07	2.90605e+07	2.66279e+07		3.99125e+07	1.75256e+07				4.16588e+07	2.02895e+07	2.23081e+07			1.85978e+07	25752.3	57375.5	31619.9	61232.5	48671.3	39876.8
CONT|P01017|ANGT_BOVIN	CONT|P01017|ANGT_BOVIN	Angiotensinogen	Angiotensinogen																																																	427.012	655.812	570.714	557.942	544.482
CONT|P01030|CO4_BOVIN	P0C0L4;P0C0L5;CONT|P01030|CO4_BOVIN	Complement	Complement		9030.03				2384.18	6575.36					1200.2					1764.89			933.317	3466.27	3367.1	2191.8		2082.85	4851.16	2770.82					4521.81				2559.01				1810.17						1911.14			2861.36	4162.51	3469.54	3113.99	3875.06
CONT|P01045|KNG2_BOVIN	CONT|P01044|KNG1_BOVIN;CONT|P01045|KNG2_BOVIN	Kininogen-2	Kininogen-2							7536.99																																							3477		2058.85	3562.32	2705.11	3572.15	3345.07	3411.23
CONT|P01966|HBA_BOVIN	CONT|P01966|HBA_BOVIN	Hemoglobin	Hemoglobin		13765.9	12738.9	20640.3	7267.41	10427.2	20648.3	12101.2	16345.4	14604.2	5625.75	9611.81	8987.63	8456.82	21069.7	23508.8	8057.68	22196.5	11781.1	13631.7	16239	13525.5	11563.2	13880.5	11752.2	17648	13388.5	11334	18290.6	14983	16594.2	27088.6	14374.4	18722.8	19274.4	18065.9	18908.5	10100.1	13351.8	12400.8	17099.4	9173.47	16419.7	11779	15397.5	7840.67	10583.6	13202.5	21385.3	15327	25027.2	25105	16968.7
CONT|P02081|HBBF_BOVIN	CONT|P02081|HBBF_BOVIN	Hemoglobin	Hemoglobin		18845.2	14358.4	25837.2	7414.68	12501.2	23322.3	9845.17	17045.1	17385.7	7324.45	8068.44	9577.7	13582.4	31980.4	14966.2	5896.57	21664.9	10773	14983.9	19040.1	14310	8890.64	13235.4	14079.8	20309.1	10214.4	9751.57	18391	10870.5	16454.3	28252.9	15915.5	26201.3	22064	29431.2	15578.2	9618.13	10826.9	9684.99	14370.2	8902.58	13902.9	17479.7	11946.6	10594.9	7630.8	5624.56	18367.9	13538.8	19574.2	18138.7	16289.7
CONT|P02663|CASA2_BOVIN	CONT|P02663|CASA2_BOVIN	Alpha-S2-casein	Alpha-S2-casein				4291.78							3254.3			1510.73		7610.07				1687.63	3429.25		1151.72										4754.44	2348.66									966.958			31754.9							
CONT|P02672|FIBA_BOVIN	CONT|P02672|FIBA_BOVIN	Fibrinogen	Fibrinogen		8238.61			2265.36	825.957	3328.45	2370.75	4161.7	7253.13	1647.21	2508.76	824.683	3741	3657.47	2145.13	2363.23	6887.44	3969.28	2908.03	2551.79	3077.18	3934.9	4538.87		2274.79	1324.55	3209.34	1520.82	6271.77	3529.27	3801.08	3297	6564.9	6931.63	6760.71	4458.15	3323.3	2539.5	3430.41	1791.11	1836.22	2314.78	4536.53	4799.31	1645.67	2261.67	2124.69	1021.43	708.09	1107.98	2479.35	1510.35
CONT|P02676|FIBB_BOVIN	CONT|P02676|FIBB_BOVIN	Fibrinogen	Fibrinogen		5373.22	6141.05	5447.75	3139.22	3904.53	3601.58	2960.82	2832.11	6579.1			3048.79			6156.75	1682.97	2189.4		3965.13	4932.29	1787.61	3915.67	2221.86	3283.24			2885.97	3133.91			3687.53	2668.06		2969.62			2992.16	7476.36	2852.47	3025.46	2941.43	2295.66		3359.99	4881.64	2149.79	5347.86	1676.85	1272.09	1529.52	3390.31	1916.36
CONT|P02769|ALBU_BOVIN	CONT|P02769|ALBU_BOVIN	Albumin	Albumin		53004.7	75562.9	184222	56170.1	55772	245247	35524.5	63472.9	111550	60724.7	54963.4	38609.6	49092.6	154072	193927	62091.8	132235	109250	83155.5	78260.7	100483	122377	81063.6	86852.2	112980	54664.4	60722.6	56651.5	51057.1	55888.8	163159	74556.3	160836	79585.7	135775	149135	122080	99281.7	73121.1	115649	55824.7	122368	112366	55485.2	206867	79476.3	13532	6631.01	20728.2	12249.2	9191.04	7759.93
CONT|P06868|PLMN_BOVIN	CONT|P06868|PLMN_BOVIN	Plasminogen	Plasminogen																																																	1038.13	2001.23	767.066	958.624	784.909
CONT|P12763|FETUA_BOVIN	CONT|P12763|FETUA_BOVIN	Alpha-2-HS-glycoprotein	Alpha-2-HS-glycoprotein		3692.34	3369.97		4332.44	6199.64	11125.4	3747.45	3996.7	8648.23	3431.8	4635.02	3245.55	3538.88	4707.13	5299.25	3378.08	2129.62			3919.65	3416.77	4976.13	5784.83	2949.46	5857.01	4461.63	4767.12	3125.79	4267.55	3687.67	7507.72	4300.81	4861.66	7670.85	2128.97	5434.1	4661.73	1280.77	2768.77	2930.21	2664.72	4819.26	4284.65	2593.57	4477.95	3598.07	9876.4	9539.86	11879	13842.4	14391.4	9056.11
CONT|P15497|APOA1_BOVIN	CONT|P15497|APOA1_BOVIN	Apolipoprotein	Apolipoprotein		4271.08					27595.4			23760.3																3770.24				2057.74														12325.7				6710.49	3633.34	3378.3	4035.21	4038.79	3099.17
CONT|P17690|APOH_BOVIN	CONT|P17690|APOH_BOVIN	Beta-2-glycoprotein	Beta-2-glycoprotein							3038.41																																							3375.85			1409.3	1715.33	1101.31	1147.99	1064.6
CONT|P17697|CLUS_BOVIN	CONT|P17697|CLUS_BOVIN	Clusterin	Clusterin							3732.34																																							3731.39			1159.2	985.699	1209.95	1281.61	1058.21
CONT|P28800|A2AP_BOVIN	CONT|P28800|A2AP_BOVIN	Alpha-2-antiplasmin	Alpha-2-antiplasmin																																																	1034.97	1122.1	1215.45	1223.82	1301.87
CONT|P34955|A1AT_BOVIN	CONT|P34955|A1AT_BOVIN	Alpha-1-antiproteinase	Alpha-1-antiproteinase		4125.73	5784.92	3692.46	5403.83	4126.91	8358.72	2698.65	5137.37	5892.02	3735.81	3803.72	2410.23	4478.37	8418.3	9171.27	5253.98	13970.7	3068.02	5419.21	7769.84	8276.99	2763.97	8211.13	4766.73	5340.03	3859.38	4090.75	2246.43	6071.9	4850.6	7647.75	3984.73	3289.21	4586.79	5576.07	4320.41	6010	3195.37	1691.83	4046.85	5238.23	5188.84	5239.66	2614.01	4011.48	1975.56	11958.2	3124.83	2804.47	3461.31	3102.16	2891.89
CONT|P41361|ANT3_BOVIN	CONT|P41361|ANT3_BOVIN	Antithrombin-III	Antithrombin-III							1971.23																										3634.51				5162.24		2093.68	14401.4	2432.79					4161.28		7194.34	9153.49	9240.01	11139.1	10125.7	10048.9
CONT|P50448|F12AI_BOVIN	CONT|P50448|F12AI_BOVIN	Factor	Factor																																														9782.64			1962.07	1530.38	2034.85	2216.93	2172.36
CONT|P56652|ITIH3_BOVIN	CONT|P56652|ITIH3_BOVIN	Inter-alpha-trypsin	Inter-alpha-trypsin		1036.45			5655.41				6253.49								2334.36			8460.58	19960.2	9962.01				1463.44			1782.85													1599.98						11142.7	950.762	1149.26	1161.8	1135.43	1362.33
CONT|P81644|APOA2_BOVIN	CONT|P81644|APOA2_BOVIN	Apolipoprotein	Apolipoprotein																																								2302.68								3643.62	6703.08	11129.8	8933.54	6311.05	6027.91
CONT|Q03247|APOE_BOVIN	CONT|Q03247|APOE_BOVIN	Apolipoprotein	Apolipoprotein												1123.45									3817					1352.58	12888.6																			3410.55		10049.7	11525.1	14401.7	14046.7	14334.8	10727.4
CONT|Q28065|C4BPA_BOVIN	CONT|Q28065|C4BPA_BOVIN	C4b-binding	C4b-binding							1146.36																																									2054.92	2424.41	2761.67	2344.04	2478.34	2807.62
CONT|Q28107|FA5_BOVIN	P12259;CONT|Q28107|FA5_BOVIN	Coagulation	Coagulation		2992.23			4321.36																		3858.93																									2868.4	3531.91	3410.85	3546.32	3819.42	3441.95
CONT|Q29443|TRFE_BOVIN	CONT|Q29443|TRFE_BOVIN	Serotransferrin	Serotransferrin							13766.7		2923.84																																					7556.24			775.812	726.195	1018.77	756.924	922.479
CONT|Q2KIG3|CBPB2_BOVIN	Q96IY4;CONT|Q2KIG3|CBPB2_BOVIN	Carboxypeptidase	Carboxypeptidase																																																	69.4883		79.2349	111.353	
CONT|Q2UVX4|CO3_BOVIN	P01024;CONT|Q2UVX4|CO3_BOVIN	Complement	Complement							8960.21																			5173.48																				11588.9			455.493	553.831	514.045	521.741	432.777
CONT|Q3SX14|GELS_BOVIN	CONT|Q3SX14|GELS_BOVIN	Gelsolin	Gelsolin		10273.7			1371.61		13553.3	20330.8			9025		2764.7	11688.9			9043.17		1430.58	8441.29			5596.22		6586.17	8348.37		2939.07									5540.83		2855.78										4193.62	1962.32	1498.11	2440.35	1481.1
CONT|Q3SZ57|FETA_BOVIN	CONT|Q3SZ57|FETA_BOVIN	Alpha-fetoprotein	Alpha-fetoprotein		41714	23463.4	42977.6	18733.2	21266.8	84697.9	19448.2	40058	42786.9	22335.5	21654.1	21780.6	24271.8	39145	41744.6	21610.3	37695.9	34074.1	24641.7	36079.6	35484.4	31811.9	30911.4	22156.3	25664.6	20472.1	26456.2	31010.7	20047.2	26705.7	62674.6	25602	43744.9	31731.6	47613.2	51376.3	24474.2	30216	32529.3	32707.1	16889.9	40085.8	28991.8	25600.5	43465.5	23606.2	6445.34	522.867	827.898	637.74	661.924	625.724
CONT|Q3SZV7|HEMO_BOVIN	CONT|Q3SZV7|HEMO_BOVIN	Hemopexin	Hemopexin				8036.53	3485.91		7596.92	2468	7268.36		2778.07	7290.45		3835.93	4177.11		4822.87		2908.92	2866.8	7158.93	5611.09			2220.25	2832.73	5205.45	3826.65			3255.54		4448.12		3568.58		5310.34	3014.28		3573.5		3474.76	3411.98	2666.89		4095.35	2295.51	8225.75	1757.63	1318.3	1045.35	1114.82	916.147
CONT|Q3T052|ITIH4_BOVIN	CONT|Q3T052|ITIH4_BOVIN	Inter-alpha-trypsin	Inter-alpha-trypsin		1339.73			697.344		12958.8										1265.77		1911.7																						45139.6					1043.67			2099.77	2314.48	2377.94	2296.46	2358.5
CONT|Q3ZBS7|Q3ZBS7_BOVIN	CONT|Q3ZBS7|Q3ZBS7_BOVIN	Vitronectin	Vitronectin					2089.63			3272.49				2743.38														1372.5											4448.31			1523.26		2493.07				73498.6		36641.2	71747.1	63832.9	69034	76063.8	63112.3
CONT|Q9N2I2|IPSP_BOVIN	CONT|Q9N2I2|IPSP_BOVIN	Plasma	Plasma																																																102854	6948.93	7410.8	5949.58	6473.3	5406.88
