Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-13_13150.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-14_13151.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-15_13152.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-16_13153.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-17_13154.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-18_13155.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-2-2024_Slot2-19_13156.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-3-2024_Slot2-20_13157.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-3-2024_Slot2-21_13158.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot1-02_13141.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot1-03_13142.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot2-01_13140.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-04_13143.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-05_13144.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-06_13145.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-07_13146.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-08_13147.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-09_13148.d
Q9H2W6	Q9H2W6	RM46_HUMAN	MRPL46	39S ribosomal protein L46, mitochondrial	10542.5	10229.2	8276.19	10040	9852.72	9931.62	22337.1	16598.9	17744.9	18438.9	16914	12138.8	17832.3	17796.6	17320.8	19730.3	20239.2	19121.6
Q9H2X6	Q86Z02;Q9H2X6	HIPK2_HUMAN	HIPK2	Homeodomain-interacting protein kinase 2	12960.1	7377.8	5663.08	98405.4	5079.03	5588.33			46987.8	6479.71	6272.03	4062.72	5781.12	5122.88	6532.19	5377.19	5737.06	5391.51
Q9H300	Q9H300	PARL_HUMAN	PARL	Presenilins-associated rhomboid-like protein, mitochondrial	5728.35	4196.04	4549.71	6551.72	5579.96	5749.24	5637.81	4641.4	5416.89	4889.32	4429.99	5710.25	5041.84	4967.22	3585.37	4495.81	4705.47	4809.35
Q9H307	Q9H307	PININ_HUMAN	PNN	Pinin	16871.3	15623.9	16672.9	17081.4	20196.5	16588.4	31287.6	29074.6	30464.3	23991.9	26062.5	22562.3	26074.9	26965.1	25889.5	27884.3	28316.7	27498.1
Q9H330	Q9H330	TM245_HUMAN	TMEM245	Transmembrane protein 245	15190.6	15872.9	14569	14650.8	13784.9	14300.1	12399.4	10540.2	10642.1	8212.4	9043.31	11501.9	6477.62	7337.02	7192.89	5505.38	6935.12	8435.67
Q9H334	Q9H334	FOXP1_HUMAN	FOXP1	Forkhead box protein P1	4651.01	4206.57	4454.88	4591.02	4200.95	4654.19				6063.7	4375.21	6398.75	4601.08	3907.63	6238.65	6435.28	5919.35	6497.53
Q9H361	Q9H361	PABP3_HUMAN	PABPC3	Polyadenylate-binding protein 3				39927.4	37589.6		36529.7			19387.7	18263.2		16504.7	18632.1	19806.6	23518.9	20400.9	21892.1
Q9H3C7	Q9H3C7	GGNB2_HUMAN	GGNBP2	Gametogenetin-binding protein 2	2570.8	2488.23	1716.43	1749.6	2389.71	1957.21	3342.22			1986.43	1716.31	2129.4			1509.32		1556.17	
Q9H3E2	Q9H3E2	SNX25_HUMAN	SNX25	Sorting nexin-25	3330.21	3934	4221.56	3393.39	3591.13	3836.07	2991.03	2188.2			3468.56	3003.01						
Q9H3F6	Q9H3F6	BACD3_HUMAN	KCTD10	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3	6879.37	7422.95	7081.73	6796.73	6421.56	6829.94	7412	7719.2	7767.07	9329.38	9346.3	7174.27	8480.85	8515.89	9833.45	7095.08	8681.79	7551.56
Q9H3G5	Q9H3G5	CPVL_HUMAN	CPVL	Probable serine carboxypeptidase CPVL	25453.9	20381.5	19855.4	25931.1	26236.6	24074.6	27338	26775.6	29413.2	22771.5	21766.3	9631.76	24487.4	21903.4	25665.3	36059.3	32230.1	30204.6
Q9H3H1	Q9H3H1	MOD5_HUMAN	TRIT1	tRNA dimethylallyltransferase	4387.86	4593.37	4187.76	6217.54	4383.1	5643.76	4982.02	6872.06	6061.31			6036.47				2347.86		
Q9H3H3	Q9H3H3	CK068_HUMAN	C11orf68	UPF0696 protein C11orf68	42439.8	43585.6	41791.7	46370	49458.3	46833.5	57927.4	54438.6	58143.3	34710.1	31962	55255.7	31332.3	29954.3	30574.3	31661.7	29154.9	28950.3
Q9H3H5	Q9H3H5	GPT_HUMAN	DPAGT1	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase	17726.9	15316.2	11366	14231.6	11247.1	17440.7	8358.28	11929.9	8832.69	16982.7	12658.1	9260.1	15465.4	9958.79	12084.9	13481.3	13994.9	13806
Q9H3K2	Q9H3K2	GHITM_HUMAN	GHITM	Growth hormone-inducible transmembrane protein	43885.3	39230	39678.4	36992.8	39383.5	41677.6	42086.6	27807.8	27684.7	35172.4	45515.2	38835.9	45620.9	45694.5	45860	47972.9	49266.3	47794.4
Q9H3K6	Q9H3K6	BOLA2_HUMAN	BOLA2	BolA-like protein 2	57490.4	57600	59742.7	49344.4	63248.8	60517.8	129773	215119	214182	123578	123367	43527.1	111445	122914	115309	123388	108423	119351
Q9H3L0	Q9H3L0	MMAD_HUMAN	MMADHC	Cobalamin trafficking protein CblD	4309.2	3650.12	3704.6	3483.08	5436.77	4225.09		2712.74	2377.67			4316.58						
Q9H3M7	Q9H3M7	TXNIP_HUMAN	TXNIP	Thioredoxin-interacting protein	28695.4	45176.9	40726	21712.3	29362.1	33100.3	21240.1	19021.7	18679	48759.4	25721.2	26098.2	31767.5	24314.3	46380.4	21148.5	14780.4	15839.5
Q9H3N1	Q9H3N1	TMX1_HUMAN	TMX1	Thioredoxin-related transmembrane protein 1	242544	253167	238325	251658	219425	224278	191833	215610	253714	171766	170489	197944	179833	161168	203776	171829	195050	182743
Q9H3P2	Q9H3P2	NELFA_HUMAN	NELFA	Negative elongation factor A	6799.57	6607.82	7198.08	7173.07	6606.64	6638.71	8248.7	8831.17	7897.75	6480.31	6884.91	9362.25	6758.79	7193.52	7393.25	9214.94	8438.33	8667.05
Q9H3P7	Q9H3P7	GCP60_HUMAN	ACBD3	Golgi resident protein GCP60	29725.7	26925.9	28582.8	27478.3	29199.3	28063.8	26746.9	21516.6	23947.6	17669.2	17649	24588.7	17588.4	19514.5	17158.7	16328.6	16068.2	16453.7
Q9H3Q1	Q9H3Q1	BORG4_HUMAN	CDC42EP4	Cdc42 effector protein 4	4689.59	3538.7	4933.98	4691.71	4558.52	3648.49	8948.44	9345.13	10586.2		2942.11	3192.09	3016.59					
Q9H3S5	Q9H3S5	PIGM_HUMAN	PIGM	GPI mannosyltransferase 1	1161.5	2240.7	1894.22		2483.13	1741.92												
Q9H3S7	Q9H3S7	PTN23_HUMAN	PTPN23	Tyrosine-protein phosphatase non-receptor type 23	31110.1	29864.1	30585.2	29998.3	30292.8	31618.9	20888.8	20537.3	20645.5	18730.2	20005.1	29398.1	18599.5	19161.6	18863.3	17200.6	17102.4	17544.4
Q9H3U1	Q9H3U1	UN45A_HUMAN	UNC45A	Protein unc-45 homolog A	53014.7	48310.7	49738.3	54035.8	55177.1	55951.7	48436.9	44434.7	42195	55735.3	57379.1	58847	50550.5	54618	52629.5	49786.6	50726.7	52706.3
Q9H3U5	Q9H3U5	MFSD1_HUMAN	MFSD1	Major facilitator superfamily domain-containing protein 1	39269.8	46356.1	29045.1	42447	40501.9	36579.4	26787.1	29137.1	31498.5	76480	97544.6	29971.6	67053.3	92731.6	79297.3	62017.1	65529.5	74211.5
Q9H3Y8	Q9H3Y8	PPDPF_HUMAN	PPDPF	Pancreatic progenitor cell differentiation and proliferation factor	302.089						1499.79	1750.24	1444.5		187.703					101.501		
Q9H3Z4	Q9H3Z4	DNJC5_HUMAN	DNAJC5	DnaJ homolog subfamily C member 5	40840.1	40187.6	41542.8	44032.9	41553.6	44515.3	36797.5	55657.6	60610.9	21403.1	19582.1	28945.2	21569.2	14291	18480.4	21060.5	20336.5	22292.9
Q9H410	Q9H410	DSN1_HUMAN	DSN1	Kinetochore-associated protein DSN1 homolog	9392.55		5371.52	2051.23	5139.74	3309.86				10448.7	9620.22	8418.98	9306.96	10946.1	11179.6	12835.6	11622.7	11212.8
Q9H425	Q9H425	CA198_HUMAN	C1orf198	Uncharacterized protein C1orf198	23221.3	22399.4	24246.4	24074.3	22646.3	24693	24067.5	34465.9	36039.1	12442.2	10681.1	11610.1	11393.4	11634.8	10359.1	8143.92	8440.75	8730.47
Q9H444	Q96CF2;Q9H444	CHM4B_HUMAN	CHMP4B	Charged multivesicular body protein 4b	6428.31	5613.8	5464.78	8221.85	5401.82	7272.85	75226.2	70831.8	74351.1	33148.7	32158.1	5481.54	35391.6	35735.1	37134.2	31009.2	34350.4	35310.7
Q9H446	Q9H446	RWDD1_HUMAN	RWDD1	RWD domain-containing protein 1	15752.5	15531.1	20666.4	19495.1	15075.2	18212.5	26515	26473.5	24398.3	25859.3	20037.7	17867.7	35699.8	11592.7	40099.4	23078.8	37251	19015.8
Q9H467	Q9H467	CUED2_HUMAN	CUEDC2	CUE domain-containing protein 2	3094.76	3523.71	3993.8	4501.66	5815.92	4491.95	4916.23	4105.27			3958.15	3728.98	3059.54	4239.45	2828.65	3839.09	2887.6	4812.72
Q9H469	Q9H469	FXL15_HUMAN	FBXL15	F-box/LRR-repeat protein 15	1686.09	3028.18	2070.92	2265.54	1931.17	2344.31	1606.34		1354.14	1081.76	838.48	1496.91						
Q9H477	Q9H477	RBSK_HUMAN	RBKS	Ribokinase	881.859		1829.34	1563.69	2098.56	2211.41	6030.94	6657.31	7253.57			821.495	1434.63		1722.48	2043.31	1650.41	1920.98
Q9H479	Q9H479	FN3K_HUMAN	FN3K	Fructosamine-3-kinase	9294.21	12851.6	12508.1	11446.8	12295.2	11485.3	11102	10885.5	13781.1	17917.9	22333.5	9119.76	17734.2	22861.7	18498.7	16235.4	16433.9	18220.5
Q9H488	Q9H488	OFUT1_HUMAN	POFUT1	GDP-fucose protein O-fucosyltransferase 1	95568.8	94014.7	85732.5	73009.3	82201.9	81843.3	73255.4	51091.4	53344.9	7899.05	9513.73	45948.9	8512.67	9166.64	6689.32	10097.9	10140.4	10344.7
Q9H490	Q9H490	PIGU_HUMAN	PIGU	Phosphatidylinositol glycan anchor biosynthesis class U protein	7890.49	3516.32		10182.4	5067.38	8487.71	6432.53	9566.86	11312.9	3185.93	3183.92	6039.58	3634.48	3209.57	3223.35	3863.98	4750.98	3840.04
Q9H492	A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN	MAP1LC3A	Microtubule-associated proteins 1A/1B light chain 3A	125443	109742	119099	138280	121065	152600	199103	163632	133854	56313.8	47907.1	86520.5	39875	48658.8	53819.7	34990.7	44793.9	42271.3
Q9H496	Q9H496	IFG15_HUMAN	TOR1AIP2	Torsin-1A-interacting protein 2, isoform IFRG15	1287.03	4491.21	2849.29	859.083	2678.59	1022.53	1299.65					1935.63						
Q9H497	Q9H497	TOR3A_HUMAN	TOR3A	Torsin-3A	9085.58	7723.69	6347.63	7230.61	8038.22	9328.16	10056.6			6636.02	8219.34	9130.94	4851.86	11028.5	7822.69	9744.38	11308.3	10151.6
Q9H4A3	Q9H4A3	WNK1_HUMAN	WNK1	Serine/threonine-protein kinase WNK1	29494.9	30829.9	32771.7	31563.5	31278.2	31456.6	23956.4	23787.5	22534.8	32836.1	29125.7	27466.6	29508.4	31839.7	30773.8	24877.1	26564.5	25736.1
Q9H4A4	Q9H4A4	AMPB_HUMAN	RNPEP	Aminopeptidase B	69015.1	69187	64497.4	65099.9	64159.7	68009.3	52286.4	44101.1	45500.2	21330.2	26039.8	51828.8	24267.2	22409.9	22953.9	32317.3	31387.7	31052.2
Q9H4A5	Q9H4A5	GLP3L_HUMAN	GOLPH3L	Golgi phosphoprotein 3-like	11829	12671.7	13453.1	12680.6	12585	13433.7	7619.52	5258.12	6567.27	16080.7	14919.4	14092.4	16598.5	20525.8	20337	14514.4	14749.9	15313.2
Q9H4A6	Q9H4A6	GOLP3_HUMAN	GOLPH3	Golgi phosphoprotein 3	7004.14	7473.83	8596.77	8344.87	8618.06	7846.26	5059.56	5318.03	4105.42	14302.4	11931.6	9383.4	15177.2	12517.9	13371.5	8083.73	14308.6	13975.3
Q9H4B0	Q9H4B0	OSGL1_HUMAN	OSGEPL1	Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial		2866.83	3249.52		4558.58	4165.98	3497	4979.81		5480.02	5967.1	3771.37	4954.6	5228.17	6135.72	6462.15	5147.9	4463.66
Q9H4B6	Q9H4B6	SAV1_HUMAN	SAV1	Protein salvador homolog 1			6146.5		4410.23	5568.37				7434.67	8512.83	6183.67	7617.02	7832.18	8028.77	7127.5	6565.39	7266.21
Q9H4B7	Q9H4B7;CONT|E1BJK2|E1BJK2_BOVIN	TBB1_HUMAN	TUBB1	Tubulin beta-1 chain	7067.99	62678.2	60714	13381.5	61733.3	29238.4				192988	343145	25662	227333	291601	240824	252200	248891	317472
Q9H4E5	Q9H4E5	RHOJ_HUMAN	RHOJ	Rho-related GTP-binding protein RhoJ	2149.97	4639.67	3053.93	2435.39	2966.67	2889.65	1808.28	2004.39										
Q9H4E7	Q9H4E7	DEFI6_HUMAN	DEF6	Differentially expressed in FDCP 6 homolog										7878.73	9156.14		8155.76	9127.56	8269.38	11118.2	10209.2	10020.3
Q9H4F1	Q9H4F1	SIA7D_HUMAN	ST6GALNAC4	Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase	2152.77			1963.79	1970.43	1810.64	1698.71	887.631	2127.27	2513.93	2675.95	2966.42	2553.63	1933.54	3320.72	2650.55	2300.35	2826.11
Q9H4G0	Q9H4G0	E41L1_HUMAN	EPB41L1	Band 4.1-like protein 1	4279.58	5906.94	5091.14	4602.34	5191.52	4222.13	4834.67	5855.91	5192.25		8350.4	2929.95	7320.3			7364.73		
Q9H4G4	Q9H4G4	GAPR1_HUMAN	GLIPR2	Golgi-associated plant pathogenesis-related protein 1	30262.8	35462.6	31365.4	31874.6	32568.6	35108.7	55101.3	63311	63960.8	26796.4	28941.4	26191.2	26632.4	29298.7	28923.6	24812.1	25457.9	22966
Q9H4I2	Q9H4I2	ZHX3_HUMAN	ZHX3	Zinc fingers and homeoboxes protein 3	4872.74	4591.31	4146.97	4971.81	5050.18	4971.15	3768.16	4779.8	4612.98			7065.5	14786.6	1473.95			2074	1746.41
Q9H4I3	Q9H4I3	TRABD_HUMAN	TRABD	TraB domain-containing protein	18912.8	17152.1	19225.9	22027.9	18402.1	20403.7	15679.4	17111.9	15598.6	28197.5	31740.8	23189.9	33242.1	29074.5	34479.8	31274	32373.2	33750.3
Q9H4I9	Q9H4I9	EMRE_HUMAN	SMDT1	Essential MCU regulator, mitochondrial	13368.8	13074.3	12583	12578.8	9386.49	13453.5	10890.8	8647.52	6195.1	39867.2	44988.7	11129.3	45235.7	41663.8	39040.6	32007.4	34125.2	31537.2
Q9H4L4	Q9H4L4	SENP3_HUMAN	SENP3	Sentrin-specific protease 3	23389.6	24155.6	25084.1	21014.6	23433.6	20375.9	21547.2	19636.2	15989.3	12405.7	13910.9	23155.8	13861.9	14420.9	13272.4	15066.3	16158.8	13557.1
Q9H4L5	Q9H4L5	OSBL3_HUMAN	OSBPL3	Oxysterol-binding protein-related protein 3	24403.2	21896.5	19679.6	21730.9	21539.2	22807.9	22115.4	19094.2	19214.9	10623.3	13050.4	20882.6	12639.5	11245.9	12077.5	11718.7	11231.9	11435.5
Q9H4L7	Q9H4L7	SMRCD_HUMAN	SMARCAD1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	7567.33	8167.08	7305.71	7235.69	6682.89	6390.9	5762.48	4898.77	5454.33	6228.94	5634.47	9702.87	7192.72	5628.19	2299.97	6217.19	5875.76	6922.54
Q9H4M3	Q9H4M3	FBX44_HUMAN	FBXO44	F-box only protein 44	492.543	1272.91	850.304		968.237	381.354	607.88											
Q9H4M9	Q9H4M9;Q9NZN3	EHD1_HUMAN	EHD1	EH domain-containing protein 1	154932	143767	154787	146247	138971	149757	144587	114702	117732	118966	133918	133058	121300	131690	127366	108592	102527	118744
Q9H4P4	Q9H4P4	RNF41_HUMAN	RNF41	E3 ubiquitin-protein ligase NRDP1	5776.27	6675.58	6330.02	6993	6593.81	8377.44	8282.39	13956.6	10468.6	4554.19	5568.84	6674.25	5642.16	6197.68	5599.59	7027.59	3259.5	7417.42
Q9H4X1	Q9H4X1	RGCC_HUMAN	RGCC	Regulator of cell cycle RGCC				1411.66					6442.74	15285	14529.7		13121.3	13437.6	13070.4	7324.37	8907.38	8980.11
Q9H4Z3	Q9H4Z3	CAPAM_HUMAN	PCIF1	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase	5535.15	6735.74	7615.98	6097.64	7184.12	7436.93	5805.63	6030.83	5605.54	9840.64	9696.33	7247.51	11075.2	8857.18	8929.64	10988.7	10141.5	9988.95
Q9H501	Q9H501	ESF1_HUMAN	ESF1	ESF1 homolog	9837.42	8502.62	10145.2	9861.18	10649.1	10471.5	14319.9	15146	15509.3	6903.14	8111.49	14039.3	9313.71	8417.45	8505.38	7863.06	8198.8	7274.07
Q9H553	Q9H553	ALG2_HUMAN	ALG2	Alpha-1,3/1,6-mannosyltransferase ALG2	21121.2	21662.4	24485.6	20153.8	25343.8	24609.1	17438.8	18878.3	20397	10916.5	8729.76	17078.8	9058.78	8767.08	11437.5	7939.5	7837.8	7068.35
Q9H582	Q9H582	ZN644_HUMAN	ZNF644	Zinc finger protein 644	2816.79	3114.25	2832.26	2743.6	2687.59	2629.99	2491.39	2418.64	2180.87	4739.45	3056.73	4423.72	3498.5	4135.31	4149.93	4531.42	3731.02	4006.21
Q9H583	Q9H583	HEAT1_HUMAN	HEATR1	HEAT repeat-containing protein 1	27437.2	30657.5	29905.8	27468.2	27942.8	28183.1	26361.3	23599.1	22470.1	21629.7	20601.2	32365.3	21537.8	19506.6	21317.6	25203	25231.5	25698.5
Q9H5H4	Q9H5H4	ZN768_HUMAN	ZNF768	Zinc finger protein 768	2395.05		2457.92	3387.43	2295.16	4098.84	4517.85			4072.33	3331.05	3256.22	3178.99	2317.46	3383.56	3965.75	4021.75	4429.8
Q9H5J4	Q9H5J4	ELOV6_HUMAN	ELOVL6	Elongation of very long chain fatty acids protein 6	1169.18	3016.89	2577.74				1504.88					805.38						
Q9H5K3	Q9H5K3	SG196_HUMAN	POMK	Protein O-mannose kinase	2553.22	4193.98	3578.16	3554.96	4237.43	4204.5	3172.54	4094.89	3041.19			2216.87	1615.56	2052.94				2150.78
Q9H5N1	Q9H5N1	RABE2_HUMAN	RABEP2	Rab GTPase-binding effector protein 2	15294.2	12564.9	13004	13404.1	13093.8	14407.6	18199.9	17044.4	17820	13224.5	12702.3	13151.4	12114.9	12091.8	12521.8	11233.7	11449	11542
Q9H5Q4	Q9H5Q4	TFB2M_HUMAN	TFB2M	Dimethyladenosine transferase 2, mitochondrial	12899	13273	14064.4	13152.8	12188.2	13079.3	12769.2	11007.4	13009.2	10879.7	11395.4	16880.1	10657.5	10289.6	11244.3	12154.1	11420.5	11845.3
Q9H5V8	Q9H5V8	CDCP1_HUMAN	CDCP1	CUB domain-containing protein 1	15387.7	17826	15901.8	17384.9	16087	16359.1	21617.5	27104.4	29362.8		7242.39	9377.53					10700.1	4073.06
Q9H5V9	Q9H5V9	STEEP_HUMAN	STEEP1	STING ER exit protein									1980.32	2885.78	1940.97		2396.47	1879.58	1312.28	2223.78	2856.59	2877.41
Q9H5X1	Q9H5X1	CIA2A_HUMAN	CIAO2A	Cytosolic iron-sulfur assembly component 2A	8887.76	7855.97	7946.55	7990.45	7894.93	8092.46	10364.8	8344.67	8126.17	13053.3	15712.6	9557.7	16603.2	14528.8	14830.7	17973.6	17714.5	16505.9
Q9H5Z1	Q9H5Z1	DHX35_HUMAN	DHX35	Probable ATP-dependent RNA helicase DHX35	5058.73	3388.23	4649.07	5511.51	5094.53	5199.44	6732.05	6905.17	7216.38	6131.93	5930.24	6463.58	5490.45	5283.78	4528.73	6974.36	5892.04	6084.86
Q9H668	Q9H668	STN1_HUMAN	STN1	CST complex subunit STN1	1586.24	1553.14	1661.72	1374.64	1942.23	1762.18	1607.37	1611.52	1121.52			1049.2	1155.17		1076.74		1049.4	
Q9H694	Q9H694	BICC1_HUMAN	BICC1	Protein bicaudal C homolog 1	8477.77	10380.9	9082.29	9468.17	8463.24	8732.56	4626.94	3773.06				6797.32						
Q9H6A9	Q9H6A9	PCX3_HUMAN	PCNX3	Pecanex-like protein 3	4199.45	4213.3	3895.84	4402.35	3809.87	3645.02	3631.6	4348.13	5673.6	1690.29	1998.2	4077.18	2245.32	2846.62		1790.31	1684.81	1934.69
Q9H6B4	Q9H6B4	CLMP_HUMAN	CLMP	CXADR-like membrane protein	3476.22	3101.06	2604.61		4904.61	3683.07	2467.23	4088.36	5137.75			4583.65						
Q9H6D7	Q9H6D7	HAUS4_HUMAN	HAUS4	HAUS augmin-like complex subunit 4	6674.04	6364.1	8125.43	9403.59	8688.14	7752.79	8114.95	8505.88	7630.1	10377.7	9196.03	9933.88	9369.68	10606.6	10024.8	10959.8	11597.8	11098.1
Q9H6E4	Q9H6E4	CC134_HUMAN	CCDC134	Coiled-coil domain-containing protein 134	7057.95	6376.77	5736.94	6795.99	6431.12	7467.02	6404.15	5197.4	6735.2	6526.63	5757.41	8543.62	5465.48	6362.98	6266.16	5708.16	6351.35	6417.66
Q9H6E5	Q9H6E5	STPAP_HUMAN	TUT1	Speckle targeted PIP5K1A-regulated poly(A) polymerase	7333.08	8462.85	5295.11	5555.95	4705.29	6000.47	4313.32	4060.46	3826.43	2670.51	2440.46	8594.07	4238.51	2993.78	3249.98	4630.58	5323.18	4030.2
Q9H6F5	Q9H6F5	CCD86_HUMAN	CCDC86	Coiled-coil domain-containing protein 86	3439.86	778.03			4275.69	1009.05	16607.2	17656.7	17176.6	7885.2	9825.12	3688.66	8205.27	9434.14	9597.51	12372.9	11518.3	11270.4
Q9H6H4	Q9H6H4	REEP4_HUMAN	REEP4	Receptor expression-enhancing protein 4	6031.29	5688.18	4950.07	6363.56	5816.35	6553.07	3620.5	4235.02	6814.92	9495.21	10002.7	6717.02	9069.16	8609.98	9397.81	7533.06	8099.96	7869.45
Q9H6K1	Q9H6K1	ILRUN_HUMAN	ILRUN	Protein ILRUN										1955.23	2328.8		3975.13			2292.1	2617.02	2494.63
Q9H6K4	Q9H6K4	OPA3_HUMAN	OPA3	Optic atrophy 3 protein	10444.3	7687.43	7074.63	8186.3	10220.4	7625.7	9321.49	8383.25	7885.08	13432.5	13255.8	8701.14	12967.3	11454.8	13402.4	13445.4	11406.9	12497.2
Q9H6L2	Q9H6L2	TM231_HUMAN	TMEM231	Transmembrane protein 231	3119.5	3923.81	3524.53	2520.33	3210.06	3022.71	3543.38	2398.66	2396.2			3539.32						
Q9H6Q3	Q9H6Q3	SLAP2_HUMAN	SLA2	Src-like-adapter 2	12872.2					7954.45				12480.4	17835.5		17562	16814.7	15807.6	13618.4	13709.5	16051.1
Q9H6Q4	Q9H6Q4	CIAO3_HUMAN	CIAO3	Cytosolic iron-sulfur assembly component 3	6857.27	6087.13	6019.78	7334.51	6096.18	7189.4	5554.91	5564.12	6378.53	6152.01	6146.36	7282.68	5944.16	5030.99	6565.87	6372.96	5953.73	6052.23
Q9H6R0	Q9H6R0	DHX33_HUMAN	DHX33	ATP-dependent RNA helicase DHX33	4453.76		1465.38	4214.57	2742.86	3988.32	3651.99	4150.79	5008.63		4661.91	5771.28		3027.9	2338.22	3474.1	3589.12	3977.78
Q9H6R3	Q9H6R3	ACSS3_HUMAN	ACSS3	Acyl-CoA synthetase short-chain family member 3, mitochondrial	19771.1	19009.8	19448.9	20092.5	19570.5	21669.4	32943.2	27568.6	27123.1		8212.36	10466			12943.8			
Q9H6R4	Q9H6R4	NOL6_HUMAN	NOL6	Nucleolar protein 6	16293.8	17245	16452.3	15816.6	16747.6	15100.6	13906	12891.9	13247.3	8522.4	8282.32	16664.1	8481.12	8612.71	8677.52	11321.6	11691.2	11831.8
Q9H6R7	Q9H6R7	WDCP_HUMAN	WDCP	WD repeat and coiled-coil-containing protein	3990.06	4070.92	3301.33	4428.6	2590	4800.17	3820.91	6699.66				4963.49				2969.13	2313.42	
Q9H6S0	Q9H6S0	YTDC2_HUMAN	YTHDC2	3'-5' RNA helicase YTHDC2	19476.9	18847.2	19339.7	20776.6	21164.4	19961.6	19183.1	20470.7	22564.2	18183.2	16578.8	19883.4	15812.9	15223.1	17390.4	17411.8	15279.7	15623.6
Q9H6S1	Q9H6S1	AZI2_HUMAN	AZI2	5-azacytidine-induced protein 2	2760.41	2331.82	2418.69	2230.04	1946.17	2292.96	2137.24			3172.13	2603.14	2294.36		2386.09	1896.57		1778.29	2757.92
Q9H6S3	Q9H6S3	ES8L2_HUMAN	EPS8L2	Epidermal growth factor receptor kinase substrate 8-like protein 2	24120.7	23297.4	24049.3	25990.3	23368.3	24614.4	20347.9	18580.9	17179.8	17891.6		16336.4			27722.4	24922.3		
Q9H6T3	Q9H6T3	RPAP3_HUMAN	RPAP3	RNA polymerase II-associated protein 3	11862.5	10900.8	10620.3	10872.7	10478.5	10977.6	11613.7	10151.7	10743.8	7819.05	9741.47	13777.4	8167.84	8483.47	8333.89	8408.91	8834.18	9131.72
Q9H6U6	Q9H6U6	BCAS3_HUMAN	BCAS3	BCAS3 microtubule associated cell migration factor	10962.2	12154.9	11953.5	8897.04	8409.98	10349.9	8882.58	7740.65	14892.9	6566.55	4812.59	10260.3	4980.12	3028.12	3314.4	8349.97	4999.17	5690.05
Q9H6U8	Q9H6U8	ALG9_HUMAN	ALG9	Alpha-1,2-mannosyltransferase ALG9	22678.7	22221.7	18968.4	20442.2	23949.5	22245.8	19886.5	17412.5	17486.6	14218.6	15376.6	19038.6	13960.1	13757.1	12944	14978.8	12947.3	17703.7
Q9H6V9	Q9H6V9	LDAH_HUMAN	LDAH	Lipid droplet-associated hydrolase	22347.9	25007.3	25557	26003.7	29325.2	25422	27703.5	25477.3	21700.6	29721.9	35529	25534	29859.1	34261.5	32345.6	28488.6	32084.5	31087.2
Q9H6W3	Q9H6W3	RIOX1_HUMAN	RIOX1	Ribosomal oxygenase 1	7860.55	7620.04	4429.77	8254.52	7673.58	7812.67	7691.84	10468.4	8911.34	6877.19	7051.1	8340.53	5724.24	5754.44	6992.16	8775.51	7324.22	7681.11
